match_id,match_date,minutes_played,total_passes,passes_per_90,pass_completion_rate,avg_pass_length,crosses_per_90,shot_assists_per_90,goal_assists_per_90,passes_under_pressure_per_90,successful_receipts_per_90,avg_carry_distance,carries_under_pressure_per_90,total_dribbles,dribbles_per_90,dribble_success_rate,total_duels,duels_per_90,duel_success_rate,recoveries_per_90,interceptions_per_90,pressures_per_90
18245,,8,3,33.75,1.0,15.839612666666667,0.0,0.0,0.0,0.0,33.75,11.560276813294738,0.0,0,0.0,,1,11.25,1.0,0.0,0.0,11.25
3753984,,90,29,29.0,0.7586206896551724,23.3828854862069,1.0,0.0,0.0,3.0,28.0,7.971864340715663,9.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,8.0
3753985,,29,22,68.27586206896552,0.9090909090909091,17.614984727272727,0.0,0.0,0.0,12.413793103448276,55.86206896551724,6.156867289595209,9.310344827586206,0,0.0,,3,9.310344827586206,0.3333333333333333,3.103448275862069,0.0,18.620689655172413
3753991,,90,63,63.0,0.8095238095238095,18.8534118063492,0.0,1.0,0.0,20.0,48.0,7.1744957532115885,27.0,3,3.0,0.6666666666666666,9,9.0,0.1111111111111111,8.0,4.0,45.0
3754003,,90,55,55.0,0.8,21.04962243818182,1.0,0.0,0.0,3.0,54.0,8.23473793362267,7.0,2,2.0,0.5,4,4.0,0.25,3.0,1.0,19.0
3754020,,39,22,50.76923076923077,0.9090909090909091,18.19985176818182,0.0,2.3076923076923075,0.0,4.615384615384615,43.84615384615384,6.4376994636269735,13.846153846153845,1,2.3076923076923075,0.0,3,6.9230769230769225,0.6666666666666666,4.615384615384615,0.0,25.384615384615383
3754040,,90,81,81.0,0.8518518518518519,22.829183269135797,0.0,0.0,0.0,7.0,69.0,8.629430795687178,9.0,1,1.0,1.0,3,3.0,0.3333333333333333,8.0,1.0,11.0
3754047,,90,84,84.0,0.8452380952380952,24.586453007142858,1.0,0.0,0.0,3.0,65.0,7.680534277644346,10.0,1,1.0,1.0,5,5.0,0.0,8.0,0.0,17.0
3754051,,90,66,66.0,0.7727272727272727,19.911862731818182,0.0,1.0,0.0,21.0,53.0,5.972836510015602,24.0,4,4.0,0.5,4,4.0,0.75,8.0,0.0,19.0
3754055,,90,68,68.0,0.8382352941176471,21.503918258823532,0.0,0.0,0.0,7.0,56.0,7.404057532900342,16.0,3,3.0,1.0,3,3.0,0.3333333333333333,8.0,4.0,22.0
3754060,,90,51,51.0,0.8235294117647058,23.17752689215686,1.0,0.0,0.0,5.0,32.0,7.1893141395578795,8.0,2,2.0,1.0,4,4.0,0.0,7.0,4.0,12.0
3754064,,90,59,59.0,0.8813559322033898,17.729031594915252,0.0,1.0,0.0,13.0,50.0,6.519679269403157,25.0,4,4.0,1.0,4,4.0,0.25,5.0,4.0,39.0
3754087,,90,41,41.0,0.7073170731707317,17.754431014634147,0.0,0.0,0.0,7.0,25.0,5.69790410616178,12.0,2,2.0,0.5,5,5.0,0.4,7.0,3.0,36.0
3754098,,90,75,75.0,0.8,16.800653568,0.0,2.0,0.0,11.0,66.0,5.329914295632542,13.0,1,1.0,0.0,3,3.0,0.3333333333333333,6.0,0.0,22.0
3754129,,90,43,43.0,0.8604651162790697,15.98059125348837,0.0,2.0,0.0,8.0,36.0,7.082945252592621,12.0,1,1.0,0.0,8,8.0,0.0,7.0,1.0,32.0
3754198,,90,52,52.0,0.7307692307692307,17.31965109423077,1.0,2.0,0.0,9.0,48.0,4.4005320696501515,19.0,4,4.0,1.0,4,4.0,0.5,4.0,1.0,21.0
3754208,,90,49,49.0,0.7142857142857143,17.95740149387755,0.0,0.0,0.0,10.0,40.0,6.86043537539515,13.0,4,4.0,0.75,3,3.0,0.3333333333333333,3.0,1.0,17.0
3754212,,90,54,54.0,0.7777777777777778,24.303433453703704,1.0,0.0,0.0,7.0,45.0,6.177949229202561,4.0,0,0.0,,3,3.0,0.3333333333333333,3.0,1.0,10.0
3754214,,90,72,72.0,0.9305555555555556,18.56853943888889,0.0,0.0,0.0,7.0,58.0,5.438067485170307,13.0,1,1.0,0.0,5,5.0,0.4,6.0,2.0,23.0
3754220,,90,82,82.0,0.8658536585365854,19.892322312195127,0.0,1.0,0.0,20.0,72.0,7.382342319418038,28.0,1,1.0,1.0,7,7.0,0.42857142857142855,2.0,1.0,12.0
3754226,,90,62,62.0,0.7903225806451613,20.07628574193549,1.0,0.0,0.0,3.0,54.0,5.3363074354051765,10.0,2,2.0,0.5,9,9.0,0.3333333333333333,7.0,1.0,16.0
3754230,,90,66,66.0,0.8787878787878788,19.738937756818185,0.0,0.0,0.0,7.0,66.0,7.628556030123791,18.0,3,3.0,0.0,1,1.0,0.0,7.0,0.0,17.0
3754251,,90,78,78.0,0.7692307692307693,20.141755696153844,1.0,6.0,0.0,18.0,61.0,7.6088488661269515,17.0,1,1.0,1.0,7,7.0,0.14285714285714285,9.0,5.0,25.0
3754255,,90,94,94.0,0.851063829787234,20.140279111702128,0.0,4.0,0.0,9.0,68.0,8.984786144508602,14.0,2,2.0,1.0,6,6.0,0.16666666666666666,10.0,0.0,20.0
3754275,,90,47,47.0,0.8297872340425532,20.45101265319149,1.0,1.0,0.0,8.0,40.0,6.006516204663764,8.0,0,0.0,,4,4.0,0.25,4.0,2.0,12.0
3754305,,90,46,46.0,0.8260869565217391,20.859510882608696,0.0,2.0,0.0,7.0,44.0,7.645947907921979,12.0,3,3.0,1.0,8,8.0,0.5,4.0,1.0,28.0
3754316,,90,121,121.0,0.8677685950413223,20.842190394214875,1.0,0.0,0.0,8.0,95.0,7.499247430721832,20.0,2,2.0,1.0,6,6.0,0.3333333333333333,10.0,2.0,15.0
3754343,,90,61,61.0,0.7049180327868853,18.22299276065574,0.0,1.0,0.0,12.0,44.0,5.513913795650151,14.0,4,4.0,0.25,8,8.0,0.125,11.0,3.0,15.0
3754345,,90,36,36.0,0.6388888888888888,21.099458930555556,1.0,0.0,0.0,15.0,37.0,8.268583918814938,22.0,2,2.0,1.0,8,8.0,0.5,2.0,1.0,16.0
3754348,,90,48,48.0,0.7916666666666666,18.247121,1.0,0.0,0.0,10.0,35.0,5.842207839600663,14.0,2,2.0,1.0,6,6.0,0.0,7.0,1.0,19.0
3754351,,90,55,55.0,0.8181818181818182,20.82509695454545,0.0,1.0,0.0,10.0,48.0,8.74946031212832,14.0,0,0.0,,2,2.0,0.5,7.0,0.0,5.0
