50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,32f29907-de00-4792-86e8-c23c65db8777,1,,,2302764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 34393, 'name': 'Nelson de Jesus da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34395, 'name': 'Marcos Evangelista de Moraes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19634, 'name': 'Jaap Stam'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 15778, 'name': 'Alessandro Nesta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 15116, 'name': 'Paolo Maldini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19849, 'name': 'Andrea Pirlo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 20142, 'name': 'Ivan Gennaro Gattuso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15046, 'name': 'Clarence Seedorf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 26712, 'name': 'Ricardo Izecson dos Santos Leite'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 20295, 'name': 'Andriy Shevchenko'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 34394, 'name': 'Hernán Jorge Crespo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,411beee8-ddac-4e5e-aeb2-7045aba3898c,2,,,2302764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 34390, 'name': 'Jerzy Dudek'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34392, 'name': 'Steve Finnan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 34388, 'name': 'Jamie Carragher'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 34389, 'name': 'Sami Hyypiä'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 34387, 'name': 'Djimi Traoré'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 26391, 'name': 'Luis Javier García Sanz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 19109, 'name': 'Steven Gerrard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 34386, 'name': 'John Arne Semundseth Riise'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 34391, 'name': 'Harry Kewell'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 19735, 'name': 'Milan Baroš'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 5}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,abecffa0-558f-4822-9ef4-b27a3e415695,3,,,2302764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['5d8641d4-081e-411b-b856-e01c06f2c197'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5d8641d4-081e-411b-b856-e01c06f2c197,4,,,2302764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['abecffa0-558f-4822-9ef4-b27a3e415695'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e00433b4-4498-4abd-8dc4-5b8ca25d89bc,1810,,,2302764,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,AC Milan,243,['4b8cb873-71e9-4936-8f59-a77aebd5c957'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4b8cb873-71e9-4936-8f59-a77aebd5c957,1811,,,2302764,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,AC Milan,243,['e00433b4-4498-4abd-8dc4-5b8ca25d89bc'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3a31ba18-3d83-4e9f-8803-74c3f8de8e7c,3553,,,2302764,90,,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,221,AC Milan,243,['3a94c368-9b7a-45be-89fb-a75d0fcebb0a'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3a94c368-9b7a-45be-89fb-a75d0fcebb0a,3554,,,2302764,90,,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,221,AC Milan,243,['3a31ba18-3d83-4e9f-8803-74c3f8de8e7c'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,463ae3f5-28c0-4659-9551-18092710c81f,4102,,,2302764,105,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,,,,257,AC Milan,243,['6a27f9e5-c8bc-425f-b0ee-a9cc26a0ad56'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6a27f9e5-c8bc-425f-b0ee-a9cc26a0ad56,4103,,,2302764,105,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,,,,257,AC Milan,243,['463ae3f5-28c0-4659-9551-18092710c81f'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
