ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a950af48-8f29-480a-874a-acf74f6da9a6,1,,,3749253,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 34390, 'name': 'Jerzy Dudek'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 34392, 'name': 'Steve Finnan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40254, 'name': 'Igor Bišćan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 34389, 'name': 'Sami Hyypiä'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 34386, 'name': 'John Arne Semundseth Riise'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40256, 'name': 'Salif Alassane Diao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 19109, 'name': 'Steven Gerrard'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40257, 'name': 'El-Hadji Ousseynou Diouf'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 15280, 'name': 'Vladimir Smicer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 34391, 'name': 'Harry Kewell'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15665, 'name': 'Michael Owen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c2c09003-c0b4-45e8-80bf-1be9c57ba7a9,2,,,3749253,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40255, 'name': 'Jérémie Aliadière'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2df48eb-3634-43ec-a807-b355a69b0736,3,,,3749253,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['0a5902a8-3b18-40d7-bd42-6c687465479e'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a5902a8-3b18-40d7-bd42-6c687465479e,4,,,3749253,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['e2df48eb-3634-43ec-a807-b355a69b0736'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c423b5f-2ecb-4cb1-9c4a-f907f2af7542,1589,,,3749253,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Liverpool,24,['c0f1e064-ead5-4575-8ac7-957fc4a09dfd'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0f1e064-ead5-4575-8ac7-957fc4a09dfd,1590,,,3749253,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Liverpool,24,['0c423b5f-2ecb-4cb1-9c4a-f907f2af7542'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.934813,,,,,,,,,,,,,7ddf406e-8286-41d7-af42-89ed25a523da,5,,"[60.0, 40.0]",3749253,0,,,,0.48995733,,Right Foot,,,,"[61.5, 40.8]",,Ground Pass,,1.7,,,Thierry Henry,15516.0,,,,,,Kick Off,1,From Kick Off,Jérémie Aliadière,40255.0,Right Center Forward,2,Arsenal,1,['7b8cb53f-163e-48e1-996b-181b5a7a5ab3'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.986,Pass,
,,,,,,,,,,,,,,,,1.579912,,,,,,,,,,,,,e65ee975-b3fe-4394-b435-2c04685b9fe4,8,,"[61.4, 41.6]",3749253,0,,,,2.2550912,,Left Foot,,,,"[42.8, 64.4]",,Ground Pass,,29.42448,,,Laureano Bisan-Etame Mayer,40222.0,,,,,,,1,From Kick Off,Thierry Henry,15516.0,Left Center Forward,2,Arsenal,1,['4cfd7d1f-b5fb-4039-9138-2db9850f289a'],3,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.216,Pass,
,,,,,,,,,,,,,,,,0.991428,,,,,,,,,,,,,4f64ab2d-fdcd-4921-9f97-1541cff69321,11,,"[42.6, 64.5]",3749253,0,,,,-1.9074712,,Right Foot,,,,"[34.2, 40.5]",,Ground Pass,,25.427544,,,Kolo Habib Touré,38412.0,,,,,,,1,From Kick Off,Laureano Bisan-Etame Mayer,40222.0,Right Back,2,Arsenal,1,['0b1bab68-09ba-4941-96c3-3b536b859919'],6,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.527,Pass,
,,,,,,,,,,,,,,,,1.741078,,,,,,,,,,,,,2b72d91f-3496-4cec-b0b4-be60ab903f71,14,,"[34.3, 38.8]",3749253,0,,,,-1.3938941,,Right Foot,,,,"[40.7, 3.0]",,Ground Pass,,36.36757,,,Ashley Cole,12529.0,,,,,,,1,From Kick Off,Kolo Habib Touré,38412.0,Right Center Back,2,Arsenal,1,['e9581840-daf5-44d5-8238-60948edc692c'],8,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:08.989,Pass,
,,,,,,,,,,,,,,,,0.900041,,,,,,,,,,,,,7b25a588-5395-46bd-acf9-b1a1ceb2b782,17,,"[40.7, 3.8]",3749253,0,,,,-0.18742912,,Left Foot,,,,"[52.3, 1.6]",,Ground Pass,,11.806778,,,Robert Pirès,19312.0,,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['23a0af6f-e496-493f-91d1-2c1a82203a89'],11,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:11.777,Pass,
,,,,,,,,,,,,,,,,0.605106,,,,,,,,,,,,,5f71e8c8-406c-4f41-adb6-720c7b17c4ea,20,,"[52.3, 1.6]",3749253,0,,,,3.018136,,Right Foot,,,,"[38.6, 3.3]",,Ground Pass,,13.805072,,,Ashley Cole,12529.0,,,,,,,1,From Kick Off,Robert Pirès,19312.0,Left Midfield,2,Arsenal,1,['f2dd9b6c-5460-4087-9786-060b35957563'],12,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:12.853,Pass,
,,,,,,,,,,,,,,,,0.756651,,,,,,,,,,,,,90579968-27e9-4236-b6ac-f72a0a659704,23,,"[38.1, 4.5]",3749253,0,,,,0.7546386,,Left Foot,,,,"[44.8, 10.8]",,Ground Pass,,9.196738,,,Ray Parlour,24972.0,,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['ae6b69dd-991f-4091-ade3-1de5be3dbe23'],16,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:16.008,Pass,
,,,,,,,,,,,,,,,,0.538158,,,,,,,,,,,,,fcd598b4-fd8f-4f4a-8cdb-de9f638f9e9e,26,,"[44.8, 10.8]",3749253,0,,,,-2.3561945,,Left Foot,,,,"[38.2, 4.2]",,Ground Pass,,9.33381,,,Ashley Cole,12529.0,,,,,,,1,From Kick Off,Ray Parlour,24972.0,Right Defensive Midfield,2,Arsenal,1,['43483183-ded5-4c5b-be5c-ff7a91cd63f6'],16,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:16.854,Pass,
,,,,,,,,,,,,,,,,0.438137,,,,,,,,,,,,,bdfe81a3-5fbe-40bf-9bc6-b29f78bc48bb,29,,"[38.2, 4.2]",3749253,0,,,,0.76927054,,Left Foot,,,,"[44.5, 10.3]",,Ground Pass,,8.769264,,,Ray Parlour,24972.0,,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['a8bf9a72-9198-4e4b-86ba-7b5c6665e982'],17,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:17.464,Pass,
,,,,,,,,,,,,,,,,0.598305,,,,,,,,,,,,,e6f3d764-b377-45b8-bcf7-0a8020e5b4b4,32,,"[44.8, 10.5]",3749253,0,,,,-0.8164441,,Left Foot,,,,"[52.6, 2.2]",,Ground Pass,,11.389908,,,Robert Pirès,19312.0,,,,,,,1,From Kick Off,Ray Parlour,24972.0,Right Defensive Midfield,2,Arsenal,1,['5cd37950-3c84-4121-891b-e2f946043c6a'],18,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:18.159,Pass,
,,,,,,,,,,,,,,,,0.979618,,,,,,,,,,,,,d92bbce9-bc56-492a-827a-710da9524e12,39,,"[53.9, 7.8]",3749253,0,,,,2.2924511,,Right Foot,,,,"[51.7, 10.3]",,Ground Pass,,3.3301651,,,Ray Parlour,24972.0,,,,,,Recovery,1,From Kick Off,Robert Pirès,19312.0,Left Midfield,2,Arsenal,1,"['01e46e80-e249-42f5-bd63-fa2ffd5af39b', '3e037d87-f5b7-4e84-80a0-3212f426cc3e']",21,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:21.088,Pass,True
,,,,,,,,,,,,,,,,1.166139,,,,,,,,,,,,,a6590925-899f-4d92-a16a-37714ed2baee,42,,"[51.7, 10.5]",3749253,0,,,,-2.4067843,,Left Foot,,,,"[43.4, 3.0]",,Low Pass,,11.186599,,,Ashley Cole,12529.0,,,,,,,1,From Kick Off,Ray Parlour,24972.0,Right Defensive Midfield,2,Arsenal,1,"['01e46e80-e249-42f5-bd63-fa2ffd5af39b', '0778282c-ec5e-4908-b66e-a2ee1f12856c']",22,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:22.108,Pass,True
,,,,,,,,,,,,,,,,1.344168,,,,,,,,,,,,,3fc8b2ab-1e0a-4ef4-9c93-ae65f853bfb1,45,,"[43.4, 3.1]",3749253,0,,,,2.4501421,,Right Foot,,,,"[25.4, 18.0]",,Ground Pass,,23.366858,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['ab7a3648-09f9-45e6-b5b0-eb29cf220be4'],24,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:24.256,Pass,
,,,,,,,,,,,,,,,,1.556888,,,,,,,,,,,,,b4031942-90d1-4b7a-9bb9-9dff1717afe3,48,,"[28.2, 28.3]",3749253,0,,,,-0.07507984,,Right Foot,,,,"[73.4, 24.9]",,High Pass,,45.327694,,,Thierry Henry,15516.0,,,,,,,1,From Kick Off,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,2,Arsenal,1,['05eb1556-a199-4dca-a50d-b18074779c3d'],31,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:31.436,Pass,
,,,,,,,,,,,,,,,,2.253018,,,,,,,,,,,,,c426aa67-eff1-4e21-afba-f8810a959954,55,,"[111.7, 0.1]",3749253,0,,,,3.0560873,,,,,,"[87.2, 2.2]",,High Pass,,24.589836,,,Gilberto Aparecido da Silva,40221.0,,,,,,Throw-in,1,From Throw In,Ashley Cole,12529.0,Left Back,3,Arsenal,1,['541023da-12be-4e68-aa8e-24c09b8d8187'],59,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:59.129,Pass,
,,,,,,,,,,,,,,,,1.779338,,,,,,,,,,,,,098c1c1a-eb54-4111-bc44-4def6d3642b9,58,,"[87.2, 2.2]",3749253,1,,,,-0.09144729,,Right Foot,,,,"[110.1, 0.1]",,Low Pass,,22.996086,Out,,,,,,,,,,1,From Throw In,Gilberto Aparecido da Silva,40221.0,Left Defensive Midfield,3,Arsenal,1,,1,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:01.502,Pass,
