bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ffdbffbf-aad2-4694-a079-8ab4e0f20769,1,,,3749448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ab2e7df-7642-4f9b-ad8e-4da95dfe7fa2,2,,,3749448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 34390, 'name': 'Jerzy Dudek'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34388, 'name': 'Jamie Carragher'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 40254, 'name': 'Igor Bišćan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 34389, 'name': 'Sami Hyypiä'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 34386, 'name': 'John Arne Semundseth Riise'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 38522, 'name': 'Dietmar Hamann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 19109, 'name': 'Steven Gerrard'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 40257, 'name': 'El-Hadji Ousseynou Diouf'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 34391, 'name': 'Harry Kewell'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15659, 'name': 'Emile Heskey'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 15665, 'name': 'Michael Owen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c77df932-7a63-4d12-99de-542ee0115a37,3,,,3749448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['158f68e3-189a-498f-93b9-412a30ec4287'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,158f68e3-189a-498f-93b9-412a30ec4287,4,,,3749448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['c77df932-7a63-4d12-99de-542ee0115a37'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,640c54a9-779a-477d-b1ab-8a92d53f6338,1566,,,3749448,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Liverpool,24,['d4a51e3c-d6e0-4a21-bec7-8cfe328d85c1'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d4a51e3c-d6e0-4a21-bec7-8cfe328d85c1,1567,,,3749448,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Liverpool,24,['640c54a9-779a-477d-b1ab-8a92d53f6338'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.44968,,,,,,,,,,,,255af120-7cad-463c-9d2f-884784fca4c6,5,,"[61.0, 40.1]",3749448,0,,,,,0.96850896,,Right Foot,,,"[63.2, 43.3]",,Ground Pass,,3.8832977,,,,Michael Owen,15665.0,,,,,Kick Off,1,From Kick Off,Steven Gerrard,19109.0,Left Defensive Midfield,2,Liverpool,24,['a82c7ba3-9e03-4ffa-99de-a9e1a566cf7b'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.278,Pass,
,,,,,,,,,,,,,,,0.997256,,,,,,,,,,,,267f5c32-b8af-49e5-9c04-9307f24c9c3c,8,,"[64.1, 44.3]",3749448,0,,,,,-2.9255078,,Right Foot,,,"[47.7, 40.7]",,Ground Pass,,16.790474,,,,Dietmar Hamann,38522.0,,,,,,1,From Kick Off,Michael Owen,15665.0,Left Center Forward,2,Liverpool,24,['cd1c2520-a489-4e05-af9f-2398702c47ae'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.848,Pass,
,,,,,,,,,,,,,,,1.394844,,,,,,,,,,,,34373762-8408-4e56-bef9-f782e0e797d4,11,,"[46.5, 43.2]",3749448,0,,,,,1.8208994,,Right Foot,,,"[38.3, 75.3]",,Low Pass,,33.130802,,,,Jamie Carragher,34388.0,,,,,,1,From Kick Off,Dietmar Hamann,38522.0,Right Defensive Midfield,2,Liverpool,24,['1f4d3c52-eebc-40e3-b723-628c251cc4cb'],2,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.918,Pass,
,,,,,,,,,,,,,,,2.532285,,,,,,,,,,,,07c754e8-840c-4711-98f3-15c50c070e9c,14,,"[42.2, 72.7]",3749448,0,,,,,-0.1779152,,Right Foot,,,"[96.7, 62.9]",,High Pass,,55.374092,,Incomplete,,,,,,,,,1,From Kick Off,Jamie Carragher,34388.0,Right Back,2,Liverpool,24,['e2cfdb94-3598-4860-8f77-6e1c922c6769'],6,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:06.802,Pass,
,,,,,,,,,,,,,,,0.92505,,,,,,,,,,,,e2cfdb94-3598-4860-8f77-6e1c922c6769,15,,"[23.4, 17.2]",3749448,0,,,,,-0.41122654,,Head,,,"[36.7, 11.4]",,High Pass,,14.509652,,Incomplete,,Patrick Vieira,15515.0,,,,,Recovery,1,From Kick Off,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,2,Liverpool,24,"['07c754e8-840c-4711-98f3-15c50c070e9c', '961c92f0-ec65-4776-9cee-a085a96e7fe1', 'c7045b37-7767-4947-b734-aa630d22b357']",9,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:09.334,Pass,
,,,,,,,,,,,,,,,1.571259,,,,,,,,,,,,c7045b37-7767-4947-b734-aa630d22b357,17,,"[83.4, 68.7]",3749448,0,,,,,0.79891086,,Head,,,"[90.7, 76.2]",,High Pass,,10.466136,,Incomplete,,,,,,,,Recovery,1,From Kick Off,El-Hadji Ousseynou Diouf,40257.0,Right Midfield,2,Liverpool,24,"['555b3b19-6f63-47cf-a1e8-b41a5cb5c91f', 'e2cfdb94-3598-4860-8f77-6e1c922c6769']",10,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:10.259,Pass,
,,,,,,,,,,,,,,,0.76813,,,,,,,,,,,,555b3b19-6f63-47cf-a1e8-b41a5cb5c91f,18,,"[29.4, 3.9]",3749448,0,,,,,0.7328151,,Head,,,"[36.4, 10.2]",,High Pass,,9.417537,,,,Patrick Vieira,15515.0,,,,,Recovery,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Liverpool,24,"['afe26d58-0a64-4cc1-9601-9bf2b24a7097', 'c7045b37-7767-4947-b734-aa630d22b357']",11,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:11.830,Pass,
,,,,,,,,,,,,,,,3.540004,,,,,,,,,,,,3ee09543-f72f-426a-a648-8cf4f9d17975,22,,"[28.1, 13.0]",3749448,0,,,,,1.3133032,,Right Foot,,,"[43.4, 71.1]",,High Pass,,60.08078,,Incomplete,,Laureano Bisan-Etame Mayer,40222.0,,True,,,,1,From Kick Off,Patrick Vieira,15515.0,Left Defensive Midfield,2,Liverpool,24,"['90156a9a-3875-41a0-86c9-3567512a1270', 'a921bedc-ac57-4a9a-acc9-631e04a07576']",14,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:14.373,Pass,
,,,,,,,,,,,,,,,1.294536,,,,,,,,,,,,e43a4fa4-f279-4423-b2cd-4624b5517f89,30,,"[111.3, 3.8]",3749448,0,,,,,1.4546547,,Left Foot,,,"[114.1, 27.8]",,High Pass,,24.16278,,Incomplete,,,,,,,,,1,From Kick Off,Harry Kewell,34391.0,Left Midfield,2,Liverpool,24,"['18036437-3786-4bc1-bb52-872d154a4cae', 'b1125064-6b65-4a5d-99b4-2ce0e889a554']",21,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:21.858,Pass,True
,,,,,,,,,,,,,,,2.14045,,,,,,,,,,,,0ee9c685-e47c-477e-ba0f-5c9741a3aa60,33,,"[120.0, 0.1]",3749448,0,,,,,1.7794781,,Right Foot,,,"[112.8, 34.1]",,High Pass,True,34.753994,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Steven Gerrard,19109.0,Left Defensive Midfield,3,Liverpool,24,['70c19fc7-9ee0-41c9-aa6f-069c6fadf866'],48,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:48.636,Pass,
,,,,,,,,,,,,,,,3.95855,,,,,,,,,,,,b545d03d-55b5-4d8a-a390-57f63e5dc68e,40,,"[6.0, 44.0]",3749448,1,,,,,-0.38662985,,Right Foot,,,"[70.6, 17.7]",,High Pass,,69.748474,,,,Thierry Henry,15516.0,,,,,Goal Kick,1,From Goal Kick,Jens Lehmann,20015.0,Goalkeeper,4,Arsenal,1,['d79c1a13-7d73-458e-afb0-508866e0cfaf'],12,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:12.850,Pass,
,,,,,,,,,,,,,,,0.940491,,,,,,,,,,,,95543c8e-64e7-4e85-b334-1f6d39c4f3ad,45,,"[87.2, 4.8]",3749448,1,,,,,-3.117501,,Right Foot,,,"[70.6, 4.4]",,Ground Pass,,16.604818,,,,Patrick Vieira,15515.0,,,,,,1,From Goal Kick,Thierry Henry,15516.0,Right Center Forward,4,Arsenal,1,['e35e2368-6067-49d5-9f46-2d41a0d79898'],23,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:23.397,Pass,
,,,,,,,,,,,,,,,1.380391,,,,,,,,,,,,376bdd2e-faaf-4a20-bab9-529703cbe59e,48,,"[63.6, 14.4]",3749448,1,,,,,2.822002,,Right Foot,,,"[49.7, 19.0]",,Ground Pass,,14.641379,,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,,1,From Goal Kick,Patrick Vieira,15515.0,Left Defensive Midfield,4,Arsenal,1,['598df7f6-581f-464f-a07b-b6d8baa17c11'],28,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:28.112,Pass,
,,,,,,,,,,,,,,,1.396189,,,,,,,,,,,,77e3dac8-89c8-443c-a597-9eebabc2262e,51,,"[50.9, 23.9]",3749448,1,,,,,-0.16084042,,Right Foot,,,"[84.8, 18.4]",,High Pass,,34.343266,,,,Robert Pirès,19312.0,,,,,,1,From Goal Kick,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,4,Arsenal,1,['3bbf3bb1-fad5-46e7-a553-8b831c7ebb9b'],31,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:31.202,Pass,
,,,,,,,,,,,,,,,1.708124,,,,,,,,,,,,ccc60268-3736-4c65-88da-8e6a6ad15b35,53,,"[85.1, 19.3]",3749448,1,,,,,-1.5341635,,Right Foot,,,"[85.8, 0.2]",,Low Pass,,19.112823,,Out,,Ashley Cole,12529.0,,,,,,1,From Goal Kick,Robert Pirès,19312.0,Left Midfield,4,Arsenal,1,['b80b397e-1ae6-43c6-a421-f88ddbbe1d75'],32,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:32.598,Pass,
,,,,,,,,,,,,,,,2.59498,,,,,,,,,,,,02d9d6c7-d57f-4037-b847-48864171f7b4,55,,"[36.2, 80.0]",3749448,1,,,,,-0.060424574,,,,,"[64.3, 78.3]",,Low Pass,,28.151377,,,,El-Hadji Ousseynou Diouf,40257.0,,,,,Throw-in,1,From Throw In,Jamie Carragher,34388.0,Right Back,5,Liverpool,24,['960cdc82-6057-4abf-b870-b658c05c6af3'],51,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:51.569,Pass,
,,,,,,,,,,,,,,,2.480979,,,,,,,,,,,,0d249274-7d35-4ec6-b167-70591e0fcce6,59,,"[56.9, 0.1]",3749448,2,,,,,2.753771,,,,,"[33.4, 9.7]",,High Pass,,25.385231,,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,Throw-in,1,From Throw In,Ashley Cole,12529.0,Left Back,6,Arsenal,1,['9e42ac15-f8ff-4200-9d6b-e2a70ec3aed9'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:02:00.514,Pass,
