bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2fe40f44-1c8b-49a7-a5db-7a7931713566,1,,,,3753984,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,010f59d0-134b-4bce-95f2-01f0f89eef1c,2,,,,3753984,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20066, 'name': 'Darren Randolph'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3897, 'name': 'Pedro Mba Obiang Avomo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2973b7bc-cc24-41ba-bf4d-e0a094a88341,3,,,,3753984,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['c24fdedd-7a15-46a4-9f0a-0cbf0ab1f7a5'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c24fdedd-7a15-46a4-9f0a-0cbf0ab1f7a5,4,,,,3753984,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['2973b7bc-cc24-41ba-bf4d-e0a094a88341'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39ceb71d-da12-498d-9f76-3795083feb4e,1691,,,,3753984,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,West Ham United,40,['dcfa7693-24e3-44f7-acb8-ef0cef8afe0f'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcfa7693-24e3-44f7-acb8-ef0cef8afe0f,1692,,,,3753984,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,West Ham United,40,['39ceb71d-da12-498d-9f76-3795083feb4e'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.633509,,,,,,,,,,,,,0928066d-0027-4a9d-9f41-8f55bd93ad43,5,,,"[61.0, 40.1]",3753984,0,,,,,1.2055949,,Right Foot,,,,"[62.3, 43.5]",,Ground Pass,3.640055,,,,Philippe Coutinho Correia,3501.0,,,,,,Kick Off,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['0509d862-959e-4dc3-9866-d8e22aaf1494'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.251,Pass,
,,,,,,,,,,,,,,1.59036,,,,,,,,,,,,,319d1a80-46bb-4aec-8ba6-33e73af92da2,8,,,"[63.3, 45.6]",3753984,0,,,,,1.5280209,,Right Foot,,,,"[64.4, 71.3]",,Ground Pass,25.72353,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Liverpool,24,['5eb9f8dc-7471-4b65-9a9a-19ccb924e405'],1,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.898,Pass,
,,,,,,,,,,,,,,0.626485,,,,,,,,,,,,,55f331a6-2aef-4e79-925b-8cf039012a9d,11,,,"[64.4, 71.3]",3753984,0,,,,,1.607144,,Right Foot,,,,"[64.2, 76.8]",,Ground Pass,5.503635,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,2,Liverpool,24,['06be6735-7f52-44fb-85b4-fd85729c90e9'],7,,,,,,,,,,,,,,,,Liverpool,24,00:00:07.344,Pass,
,,,,,,,,,,,,,,1.495257,,,,,,,,,,,,,b50354b8-7f3d-4bc1-8d45-3b1d0dff9fae,14,,,"[64.2, 76.8]",3753984,0,,,,,-1.805212,,Right Foot,,,,"[62.6, 70.1]",,Ground Pass,6.8883963,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,['34fb46cd-f2e1-4f6e-9d33-c156bbc16944'],8,,,,,,,,,,,,,,,,Liverpool,24,00:00:08.461,Pass,
