ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4f335bc2-6c1b-4e73-892f-3d7ae429989f,1,,,3753985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8251, 'name': 'Marco van Ginkel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3636, 'name': 'Charlie Adam'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a5aa0a18-edc1-43ff-adfd-244499f78ac9,2,,,3753985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e54aa2fc-7eb1-44d6-9b06-14710988cac8,3,,,3753985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['7897aa9d-0d04-4536-ac07-b6afd25e3a12'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7897aa9d-0d04-4536-ac07-b6afd25e3a12,4,,,3753985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['e54aa2fc-7eb1-44d6-9b06-14710988cac8'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9062d72e-275e-45ba-b1a9-96158f2fd246,1746,,,3753985,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Stoke City,30,['c8288964-5642-4018-bf55-6252752e427a'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c8288964-5642-4018-bf55-6252752e427a,1747,,,3753985,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Stoke City,30,['9062d72e-275e-45ba-b1a9-96158f2fd246'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.447569,,,,,,,,,,,,,,,f03116d3-4a2c-4143-986d-30c93a9e7380,5,,"[61.0, 40.1]",3753985,0,,,,,1.815775,,Left Foot,,,,"[60.2, 43.3]",,Ground Pass,,3.2984846,,,,Philippe Coutinho Correia,3501.0,,,,,,Kick Off,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['ece327ca-8b05-4b29-9f94-305073f8fdfe'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.720,Pass,
,,,,,,,,,,,,,0.958272,,,,,,,,,,,,,,,c0f07054-4c3e-4f7f-b20d-2143a71e170f,7,,"[59.4, 43.2]",3753985,0,,,,,-2.863293,,Right Foot,,,,"[54.5, 41.8]",,Ground Pass,,5.096077,,,,Jordan Brian Henderson,3532.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['82a7fed4-bc5e-4f8d-9746-4f37bdf9941d'],1,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.167,Pass,
,,,,,,,,,,,,,2.757265,,,,,,,,,,,,,,,c4a069c6-5cff-4a83-a5d3-b996dd8ea5d7,10,,"[53.0, 45.9]",3753985,0,,,,,0.7243712,,Right Foot,,,,"[88.6, 77.4]",,High Pass,,47.535355,,Incomplete,,Jordon Ibe,3635.0,,,,,,,1,From Kick Off,Jordan Brian Henderson,3532.0,Left Defensive Midfield,2,Liverpool,24,"['454caf12-7bae-4789-924b-5ee4c7e9704d', 'e693c3aa-56c7-4766-b06f-29a8c0476ade']",3,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.476,Pass,
,,,,,,,,,,,,,1.555967,,,,,,,,,,,,,,,e693c3aa-56c7-4766-b06f-29a8c0476ade,12,,"[31.5, 2.7]",3753985,0,,,,,0.2905107,,Head,,,,"[41.2, 5.6]",,High Pass,,10.1242285,,,,Ibrahim Afellay,4891.0,,,,,,Recovery,1,From Kick Off,Erik Pieters,3467.0,Left Back,2,Liverpool,24,"['59bbccf3-f59b-4d6a-853e-352473dfc9f4', 'c4a069c6-5cff-4a83-a5d3-b996dd8ea5d7']",6,,,,,,,,,,,,,,,,,Stoke City,30,00:00:06.233,Pass,
