50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b36f752-cd73-4c8f-8854-4e471119616f,1,,,3753986,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 11992, 'name': 'Kevin Linford Stewart'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 13200, 'name': 'Oluwaseyi Babajide Ojo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 54}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,741f7cf9-51c0-4eec-8a3a-0c229ca4b481,2,,,3753986,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 41185, 'name': 'Jakob Haugaard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 3643, 'name': 'Phil Bardsley'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 4346, 'name': 'Gilbert Gianelli Imbula Wanga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4040, 'name': 'Peter Crouch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdc2ba7f-21d3-4ec4-8940-ae404a45a3e3,3,,,3753986,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['b9d0da83-d430-4534-bc53-f1e3d971309d'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b9d0da83-d430-4534-bc53-f1e3d971309d,4,,,3753986,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['cdc2ba7f-21d3-4ec4-8940-ae404a45a3e3'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d9da098-49da-4559-8a7b-1a974d574f4a,1747,,,3753986,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Liverpool,24,['764173fc-ad39-4b4c-9318-43bd0d116743'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,764173fc-ad39-4b4c-9318-43bd0d116743,1748,,,3753986,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Liverpool,24,['1d9da098-49da-4559-8a7b-1a974d574f4a'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.453461,,,,,,,,,,,,,7d577633-a43e-4688-b374-5cca5633128f,5,,"[60.0, 40.0]",3753986,0,,,,0.9048271,,Right Foot,,"[61.1, 41.4]",,Ground Pass,,1.7804494,,,,,Ibrahim Afellay,4891.0,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,['3347d00a-2766-4284-834c-cf8480e2bda6'],1,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.213,Pass,
,,,,,,,,,,,,,,,,,,1.12144,,,,,,,,,,,,,d5657afa-4a49-4364-9df5-85bd903e0ad9,8,,"[59.8, 39.2]",3753986,0,,,,-3.0494177,,Right Foot,,"[47.9, 38.1]",,Ground Pass,,11.950732,,,,,Gilbert Gianelli Imbula Wanga,4346.0,,,,,,1,From Kick Off,Ibrahim Afellay,4891.0,Left Wing,2,Stoke City,30,['3e0ec077-7e20-425f-97f2-83d1c7e3666f'],1,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.730,Pass,
,,,,,,,,,,,,,,,,,,3.363131,,,,,,,,,,,,,01197fc4-847b-4bb2-8667-1f6a2c98df33,11,,"[48.6, 38.1]",3753986,0,,,,1.7135495,,Left Foot,,"[43.9, 70.8]",,Ground Pass,,33.03604,,,,,Phil Bardsley,3643.0,,,,,,1,From Kick Off,Gilbert Gianelli Imbula Wanga,4346.0,Left Defensive Midfield,2,Stoke City,30,['0389d916-9857-45f4-959a-83b072c39431'],3,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:03.619,Pass,
,,,,,,,,,,,,,,,,,,2.840318,,,,,,,,,,,,,4a7bd30f-6e75-469a-8f35-b899675caf78,13,,"[44.7, 71.6]",3753986,0,,,,-0.18605818,,Right Foot,,"[87.2, 63.6]",,High Pass,,43.246387,,,,,Peter Crouch,4040.0,,,,,,1,From Kick Off,Phil Bardsley,3643.0,Right Back,2,Stoke City,30,['ffcc49bd-a58b-405a-8903-7f0af09e4a65'],6,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:06.982,Pass,
