ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,d4ffb782-7995-445f-8574-af236d8d0d9b,1,,,3753991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 10007, 'name': 'Jon Flanagan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,3f7afde6-d9c3-4308-a294-60c7d5a4c389,2,,,3753991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,e4056500-108e-45cb-9b12-2169e9435bfa,3,,,3753991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['d0c90ec5-bf20-4b20-8f3a-56beb9578661'],0,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,d0c90ec5-bf20-4b20-8f3a-56beb9578661,4,,,3753991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['e4056500-108e-45cb-9b12-2169e9435bfa'],0,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,3520a671-dcf4-446a-b12b-b5e0860ec81e,2035,,,3753991,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Liverpool,24,['7cd0f72d-c9e3-49f1-bf39-075d54d3469f'],0,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,7cd0f72d-c9e3-49f1-bf39-075d54d3469f,2036,,,3753991,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Liverpool,24,['3520a671-dcf4-446a-b12b-b5e0860ec81e'],0,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.481257,,,,,,,,,,,54fb57d3-815e-4963-89ae-c3cb270a013b,5,,"[60.0, 40.0]",3753991,0,,,,,-1.6563016,,Right Foot,,,"[59.7, 36.5]",,Ground Pass,3.5128336,,,,David Josué Jiménez Silva,3064.0,,,,,Kick Off,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,2,Manchester City,36,['f4e47685-86ef-4880-b453-3459a5adcde1'],0,,,,,,,,,,,,,,,Manchester City,36,00:00:00.498,Pass,
,,,,,,,,,,,,,,0.872276,,,,,,,,,,,73063655-6bc0-4f62-afe5-d6f40552186f,8,,"[60.0, 37.8]",3753991,0,,,,,2.6557968,,Left Foot,,,"[47.5, 44.4]",,Ground Pass,14.135417,,,,Jesús Navas González,6821.0,,,,,,1,From Kick Off,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,2,Manchester City,36,['80f18a73-4553-4b40-aa54-9fb84283ac31'],1,,,,,,,,,,,,,,,Manchester City,36,00:00:01.367,Pass,
,,,,,,,,,,,,,,1.353136,,,,,,,,,,,1d8004ef-fb75-4643-b435-f27b0e2bd99f,12,,"[47.3, 44.9]",3753991,0,,,,,1.936138,,Right Foot,,,"[40.3, 63.2]",,Ground Pass,19.593111,,,,Pablo Javier Zabaleta Girod,3052.0,,,,,,1,From Kick Off,Jesús Navas González,6821.0,Right Wing,2,Manchester City,36,"['15354d02-05b8-47f6-aa1a-6662ce392766', '2d5479d8-0eb6-4061-aacb-1e7004bb2c05']",3,,,,,,,,,,,,,,,Manchester City,36,00:00:03.512,Pass,True
,,,,,,,,,,,,,,0.902915,,,,,,,,,,,5804156c-27dd-437b-8bc8-842a84d2e714,17,,"[39.2, 59.2]",3753991,0,,,,,-2.952572,,Right Foot,,,"[27.7, 57.0]",,Ground Pass,11.708544,,,,Vincent Kompany,3101.0,,,,,,1,From Kick Off,Pablo Javier Zabaleta Girod,3052.0,Right Back,2,Manchester City,36,"['2088f822-d031-4d7f-ac99-bfc31ece005f', '8c21c4f4-0b6c-4ea5-bc20-1c47454caf2c']",7,,,,,,,,,,,,,,,Manchester City,36,00:00:07.293,Pass,True
