50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af04045e-8906-4b51-8258-76f7e810accc,1,,,3754003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 36}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c8708e70-9aad-4f93-aebe-2b17a0a75785,2,,,3754003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3654, 'name': 'Daniel William John Ings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5bc04959-40da-4d02-a915-05e3a16d4ace,3,,,3754003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['0c8f2c92-1d29-4015-886f-1c43fbfe9047'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0c8f2c92-1d29-4015-886f-1c43fbfe9047,4,,,3754003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['5bc04959-40da-4d02-a915-05e3a16d4ace'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3be25335-4378-49e7-af64-ab5abd4c1090,2059,,,3754003,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Liverpool,24,['a6920698-6dc7-471f-b579-bec7929313be'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a6920698-6dc7-471f-b579-bec7929313be,2060,,,3754003,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Liverpool,24,['3be25335-4378-49e7-af64-ab5abd4c1090'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.626499,,,,,,,,,,,,,,62a30bca-fd29-46f2-86e8-02b009ed2cfa,5,,"[61.0, 40.1]",3754003,0,,,,,1.3554386,,Right Foot,,,,"[61.7, 43.3]",,Low Pass,,3.275668,,,,Emre Can,3493.0,,,,,,Kick Off,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,2,Liverpool,24,['fa721653-cabf-4ca9-a91b-7596d70db589'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.381,Pass,
,,,,,,,,,,,,,,,1.56577,,,,,,,,,,,,,,619fa6d8-2d84-459d-a145-8f0d3be50a90,8,,"[57.4, 42.0]",3754003,0,,,,,-2.5208704,,Right Foot,,,,"[37.4, 27.7]",,Ground Pass,,24.586378,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Left Center Midfield,2,Liverpool,24,['a3fd003a-684d-43bd-96aa-3564dc771566'],1,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.382,Pass,
,,,,,,,,,,,,,,,2.145034,,,,,,,,,,,,,,969c870f-69c5-4908-9ab5-a433341dd3e3,11,,"[35.3, 32.8]",3754003,0,,,,,2.7106013,,Left Foot,,,,"[12.9, 43.1]",,Ground Pass,,24.654613,,,,Simon Mignolet,3539.0,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Left Center Back,2,Liverpool,24,['0e57aa6d-39fb-4721-b0d6-a7f01191d244'],4,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.217,Pass,
,,,,,,,,,,,,,,,2.603065,,,,,,,,,,,,,,273237f0-2163-40f8-b9ff-dd8cec572831,14,,"[12.5, 44.1]",3754003,0,,,,,0.36698717,,Right Foot,,,,"[84.3, 71.7]",,High Pass,,76.922035,,,,Christian Benteke Liolo,3380.0,,,,,,,1,From Kick Off,Simon Mignolet,3539.0,Goalkeeper,2,Liverpool,24,['e86417aa-2b31-4a47-aa3b-6c691f409649'],14,,,,,,,,,,,,,,,,Liverpool,24,00:00:14.326,Pass,
