ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8aee32fd-992a-4577-bdf4-0ed677bf8459,1,,,3754018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7063, 'name': 'Jefferson Antonio Montero Vite'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,46c3b4a4-2b4a-43c1-936c-997bbe0a8f79,2,,,3754018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 52}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 13448, 'name': 'Bradley Shaun Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 44}, {'player': {'id': 13200, 'name': 'Oluwaseyi Babajide Ojo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 54}, {'player': {'id': 8485, 'name': 'Pedro Chirivella Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 68}, {'player': {'id': 11992, 'name': 'Kevin Linford Stewart'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 35}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 33}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f7d52f86-0d7a-4207-8b65-e16116ac58eb,3,,,3754018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['acb2ffd5-fdad-484a-86ca-dd1e2b3a1dac'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,acb2ffd5-fdad-484a-86ca-dd1e2b3a1dac,4,,,3754018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['f7d52f86-0d7a-4207-8b65-e16116ac58eb'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,00e300c5-7a4b-4b98-9950-e0547047fc66,1912,,,3754018,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Liverpool,24,['040f844f-ca0a-4c46-b223-cfa31c8023ee'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,040f844f-ca0a-4c46-b223-cfa31c8023ee,1913,,,3754018,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Liverpool,24,['00e300c5-7a4b-4b98-9950-e0547047fc66'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.462367,,,,,,,,,,,,37dcfd4c-91b8-4496-8534-1493209af27a,5,,"[60.0, 40.0]",3754018,0,,,,-1.7539071,,Left Foot,,,,"[59.5, 37.3]",,Ground Pass,,2.745906,,,,,Philippe Coutinho Correia,3501.0,,,,,,Kick Off,1,From Kick Off,Daniel Andre Sturridge,3529.0,Center Forward,2,Liverpool,24,['d351b2ac-47f9-45ac-9a7a-6e5bb798b470'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.638,Pass,
,,,,,,,,,,,,,,,,,0.764221,,,,,,,,,,,,9622e8e1-713e-4225-9470-4d7a9ac673ca,8,,"[56.7, 36.9]",3754018,0,,,,-2.9166515,,Right Foot,,,,"[44.9, 34.2]",,Ground Pass,,12.104958,,,,,Kevin Linford Stewart,11992.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['aad968ad-62d4-4834-b7bb-98473799ec9b'],2,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.120,Pass,
,,,,,,,,,,,,,,,,,1.418677,,,,,,,,,,,,f9406e5e-e67c-4805-b8f9-439c460b3a06,11,,"[44.9, 34.2]",3754018,0,,,,2.4924684,,Right Foot,,,,"[27.9, 47.1]",,Ground Pass,,21.340338,,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Kevin Linford Stewart,11992.0,Left Center Midfield,2,Liverpool,24,['7fdd9ca8-38ad-40c6-aa26-e4fc38bdf6a8'],4,,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.189,Pass,
,,,,,,,,,,,,,,,,,1.693647,,,,,,,,,,,,8febbf5e-3518-45c2-82d1-5730aa782fea,14,,"[31.8, 46.5]",3754018,0,,,,-1.6248951,,Right Foot,,,,"[30.3, 18.8]",,Ground Pass,,27.740583,,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,['d2d2ba7b-e6cd-4f2d-b85c-e94ffc264e9a'],8,,,,,,,,,,,,,,,,,Liverpool,24,00:00:08.903,Pass,
