50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5a989997-1395-49ba-b24b-a29a9765dce3,1,,,3754020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 33}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,750163fa-e1f5-4d70-a2ff-62f48cd6c9d4,2,,,3754020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 13248, 'name': ""Eunan O''Kane""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 4416, 'name': 'Max-Alain Gradel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3616, 'name': 'Callum Wilson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,51b1b41b-162e-44ef-a7cd-7e27e1e6d775,3,,,3754020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['a6ee900e-f4ed-46d0-9bda-4ef9d639376b'],0,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a6ee900e-f4ed-46d0-9bda-4ef9d639376b,4,,,3754020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['51b1b41b-162e-44ef-a7cd-7e27e1e6d775'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ad17fff-1f64-437a-8b08-d68adf03d725,1614,,,3754020,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,AFC Bournemouth,28,['4041f642-c27b-40f9-b8a4-9cdc006b4a39'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4041f642-c27b-40f9-b8a4-9cdc006b4a39,1615,,,3754020,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,AFC Bournemouth,28,['4ad17fff-1f64-437a-8b08-d68adf03d725'],0,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.461966,,,,,,,,,,,,,,685673f7-4028-4ab5-8782-4e3575203e3b,5,,"[60.0, 40.0]",3754020,0,,,,,0.7853982,,Right Foot,,"[61.1, 41.1]",,Ground Pass,,1.555635,,,,Philippe Coutinho Correia,3501.0,,,,,Kick Off,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['4d73b5ce-e457-4fc4-b121-21a7e4492665'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.298,Pass,
,,,,,,,,,,,,,,,,2.360487,,,,,,,,,,,,,,235573a3-5600-42a3-a6c1-d68f213ef602,8,,"[65.3, 47.0]",3754020,0,,,,,1.8510443,,Right Foot,,"[57.5, 74.1]",,Ground Pass,,28.200178,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Right Wing,2,Liverpool,24,['17114512-6825-4a86-911e-f434dbe06e82'],3,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.258,Pass,
,,,,,,,,,,,,,,,,2.850792,,,,,,,,,,,,,,b1f8b991-0682-4761-81f0-87e4ba888190,11,,"[57.5, 74.1]",3754020,0,,,,,-0.47096965,,Right Foot,,"[95.6, 54.7]",,High Pass,,42.754765,,Incomplete,,Adam David Lallana,4090.0,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,"['65e7b927-7e9d-4acf-b8f6-6a5b8edf3e4b', 'c78c657b-7691-4f45-a2ab-d269ec5422fe']",5,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:05.826,Pass,
,,,,,,,,,,,,,,,,0.460428,,,,,,,,,,,,,,f024abf8-3406-442f-a6f8-2274396534f0,17,,"[84.5, 63.3]",3754020,0,,,,,1.3562034,,Right Foot,,"[86.2, 71.1]",,Ground Pass,,7.983107,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Center Midfield,2,Liverpool,24,['47835f46-b4f6-4250-a13d-e45cd0b30643'],11,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:11.171,Pass,
