ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c9c866c-c3d1-408e-a2ce-dfe3a507e662,1,,,3754040,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ae7f7ac-aa5e-4381-9450-f449d139b6b3,2,,,3754040,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b3fa3226-5088-456b-b2a4-713d3939db61,3,,,3754040,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['f9e833e5-a62c-491b-b577-b05da257b6a9'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f9e833e5-a62c-491b-b577-b05da257b6a9,4,,,3754040,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['b3fa3226-5088-456b-b2a4-713d3939db61'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,defe107c-ea36-4a48-887f-b04785f76e8b,2016,,,3754040,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,95,Norwich City,56,['d84510ed-6e6e-4d16-bb0e-9d98d48fc38a'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d84510ed-6e6e-4d16-bb0e-9d98d48fc38a,2017,,,3754040,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,95,Norwich City,56,['defe107c-ea36-4a48-887f-b04785f76e8b'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.161416,,,,,,,,,,,,eb50e563-507e-4e6f-80a9-7c206b34fed3,5,,"[60.0, 40.0]",3754040,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 42.5]",,Ground Pass,,2.5,,,Nathan Redmond,3286.0,,,,,Kick Off,1,From Kick Off,Graham Dorrans,16334.0,Right Center Midfield,2,Norwich City,56,['bfe9a001-d4ae-4260-b3a6-06a66456a72e'],1,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.198,Pass,
,,,,,,,,,,,,,,,,1.11891,,,,,,,,,,,,c5ed96e0-53fe-4ea9-9207-65e92a8ae6c9,8,,"[61.0, 43.6]",3754040,0,,,,,-2.7326849,,Right Foot,,,,"[52.0, 39.7]",,Ground Pass,,9.80867,,,Russell Martin,21212.0,,,,,,1,From Kick Off,Nathan Redmond,3286.0,Right Midfield,2,Norwich City,56,['c80eccbb-9dca-446e-86ef-557fdb997223'],1,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.439,Pass,
,,,,,,,,,,,,,,,,4.617267,,,,,,,,,,,,a79c9ada-5b08-434f-82fa-74d83fd41789,11,,"[52.5, 39.3]",3754040,0,,,,,-0.7199376,,Right Foot,,,,"[97.2, 0.1]",,High Pass,,59.453594,Out,,,,,,,,,1,From Kick Off,Russell Martin,21212.0,Right Center Back,2,Norwich City,56,,2,,,,,,,,,,,,,,,,,Norwich City,56,00:00:02.698,Pass,
,,,,,,,,,,,,,,,,1.619823,,,,,,,,,,,,9bcf6324-2a5a-48ac-8dbc-48cab10d4cc8,12,,"[25.9, 80.0]",3754040,0,,,,,-0.16725394,,,,,,"[41.3, 77.4]",,High Pass,,15.617938,Incomplete,,,,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Wing Back,3,Liverpool,24,['af7116b3-eefa-493d-9f9f-ecdb0aa4a180'],21,,,,,,,,,,,,,,,,,Liverpool,24,00:00:21.609,Pass,
