bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ff91d07-3df7-42b6-abf5-2cdaee653922,1,,,3754047,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e34bfa03-3377-4d94-9e0f-379bef12365e,2,,,3754047,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d34d34aa-7cc8-40b3-b572-74b3119fe2fd,3,,,3754047,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['6e5ef022-65c8-4b4b-8029-8a7888eeacd4'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e5ef022-65c8-4b4b-8029-8a7888eeacd4,4,,,3754047,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['d34d34aa-7cc8-40b3-b572-74b3119fe2fd'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10f3e7fe-5a0d-44c3-a234-327789debdb0,2034,,,3754047,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Liverpool,24,['c8628dd2-bbb4-4e85-821c-b0ec3a33fcbd'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8628dd2-bbb4-4e85-821c-b0ec3a33fcbd,2035,,,3754047,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Liverpool,24,['10f3e7fe-5a0d-44c3-a234-327789debdb0'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bd48939f-b7a2-483d-9f63-6ab647af05b0,5,,,3754047,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Swansea City,26,00:00:00.000,Tactical Shift,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d8619849-5923-49a0-abd6-1411e794954c,2786,,,3754047,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,130,Swansea City,26,,11,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 33}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:22:11.203,Tactical Shift,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0df7c481-9393-42bd-af77-6a89d2dccb7e,3095,,,3754047,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,143,Swansea City,26,,3,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7063, 'name': 'Jefferson Antonio Montero Vite'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Swansea City,26,00:31:03.034,Tactical Shift,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a632ef5-2676-4b6c-9445-9e637768a3d9,3725,,,3754047,94,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,176,Liverpool,24,,5,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:49:05.821,Tactical Shift,
