bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9cfc95c5-cb30-4699-b569-44ae88f18bf2,1,,,3754060,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 42946, 'name': 'Guangtai Jiang'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 30702, 'name': 'Brendan Joel Zibusiso Galloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dd3607b9-76aa-4932-80c5-861522e6e813,2,,,3754060,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 3654, 'name': 'Daniel William John Ings'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,44ae7772-86f8-47f7-be91-d5ea3965122e,3,,,3754060,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['fcd9bfc4-59e2-4739-af0b-1e28c4dd2395'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fcd9bfc4-59e2-4739-af0b-1e28c4dd2395,4,,,3754060,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['44ae7772-86f8-47f7-be91-d5ea3965122e'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c21b52c0-eac3-4580-ab92-6f7583898757,1542,,,3754060,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Everton,29,['dc3859f8-3605-4b7f-a0c1-488c74225889'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dc3859f8-3605-4b7f-a0c1-488c74225889,1543,,,3754060,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Everton,29,['c21b52c0-eac3-4580-ab92-6f7583898757'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.263377,,,,,,,,,,,,bfb9d7e9-9753-4166-bb6a-66a1fd1a0a28,5,,"[60.0, 40.0]",3754060,0,,,,,1.8313987,,Left Foot,,,"[59.6, 41.5]",,Ground Pass,,1.5524175,,,,James Philip Milner,3473.0,,,,,,Kick Off,1,From Kick Off,Daniel Andre Sturridge,3529.0,Right Center Forward,2,Liverpool,24,['925aff0a-b945-473e-a67e-7b3f8100afdb'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.616,Pass,
,,,,,,,,,,,,,,,,,,0.962147,,,,,,,,,,,,d493d312-42b7-4d76-b031-a5eb6ce26c20,8,,"[59.2, 37.6]",3754060,0,,,,,-2.9082189,,Right Foot,,,"[47.0, 34.7]",,Ground Pass,,12.539936,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Center Midfield,2,Liverpool,24,['ddc8e5f4-4f55-46d9-a3d0-f0dfc8d61f42'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.920,Pass,
,,,,,,,,,,,,,,,,,,4.858327,,,,,,,,,,,,72a947d7-a84e-45a6-8fc2-a8946b90117c,11,,"[51.6, 37.4]",3754060,0,,,,,-0.33093262,,Right Foot,,,"[120.0, 13.9]",,High Pass,,72.32434,,Out,,,,,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,2,Liverpool,24,,3,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.067,Pass,
,,,,,,,,,,,,,,,,,,3.429683,,,,,,,,,,,,59ec1bb3-92aa-486a-ab4c-a57c92840825,13,,"[7.0, 44.1]",3754060,0,,,,,0.14523408,,Right Foot,,,"[69.9, 53.3]",,High Pass,,63.569252,,,,Romelu Lukaku Menama,3289.0,,,,,,Goal Kick,1,From Goal Kick,Tim Howard,13042.0,Goalkeeper,3,Everton,29,['bc2f8762-172a-4167-93b8-267aeff8a475'],24,,,,,,,,,,,,,,,,,Everton,29,00:00:24.091,Pass,
