50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3fbf66eb-5679-43de-8554-c5784fa3f96f,1,,,,3754098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 28100, 'name': 'Ramires Santos do Nascimento'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 40122, 'name': 'Oscar dos Santos Emboaba Júnior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94b59788-4cb6-4774-9427-03bb48bc3b1c,2,,,,3754098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a020ac69-d772-4197-868d-d1751f1a7591,3,,,,3754098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['65d55478-ce9c-4ec6-a10d-97c0414b17d7'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,65d55478-ce9c-4ec6-a10d-97c0414b17d7,4,,,,3754098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['a020ac69-d772-4197-868d-d1751f1a7591'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7260c55e-bd54-438c-b733-547fde1566c4,1958,,,,3754098,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Liverpool,24,['151075cf-4a83-4352-82da-2174e8111d3a'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,151075cf-4a83-4352-82da-2174e8111d3a,1959,,,,3754098,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Liverpool,24,['7260c55e-bd54-438c-b733-547fde1566c4'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.329772,,,,,,,,,,,,15d6f3c0-55b2-468a-a9e4-19900598d3f7,5,,,"[60.0, 40.0]",3754098,0,,,,,-1.549523,,Right Foot,,,,"[60.1, 35.3]",,Ground Pass,,4.7010636,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Kick Off,1,From Kick Off,Adam David Lallana,4090.0,Right Attacking Midfield,2,Liverpool,24,['7fb54aa6-5916-4e34-ad14-d78f3920c73a'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.482,Pass,
,,,,,,,,,,,,,,,,,2.109105,,,,,,,,,,,,ffb0664c-d4f4-4760-9cd1-611324fef232,8,,,"[63.9, 32.1]",3754098,0,,,,,-1.9480454,,Right Foot,,,,"[53.4, 5.6]",,Ground Pass,,28.504385,,,,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['e5c0b403-7bdb-48d6-a956-0d27a4c24c1b'],2,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.377,Pass,
,,,,,,,,,,,,,,,,,1.23877,,,,,,,,,,,,aea1af9c-e967-4b13-87c9-b944cf87b10c,11,,,"[54.6, 5.1]",3754098,0,,,,,0.21277896,,Left Foot,,,,"[70.8, 8.6]",,Ground Pass,,16.573774,,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Alberto Moreno Pérez,3515.0,Left Back,2,Liverpool,24,['98d8bfbc-bf0d-43fc-9998-d64e9a35891c'],5,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:05.676,Pass,
,,,,,,,,,,,,,,,,,1.282868,,,,,,,,,,,,e2dd93fa-481b-44ea-bdee-16f618476fa1,15,,,"[66.6, 7.6]",3754098,0,,,,,2.8130395,,Right Foot,,,,"[49.0, 13.6]",,Ground Pass,,18.594624,,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Attacking Midfield,2,Liverpool,24,['d3f6b2c6-6e88-4ed9-9d10-767aac559fb5'],7,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:07.701,Pass,
