bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2d314b67-0090-4c1f-a917-13ab9e7a88da,1,,,,3754129,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3713, 'name': 'Calum Chambers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c194b522-4da9-49a9-b991-24c578cca690,2,,,,3754129,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3495, 'name': 'Joe Gomez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,eee2c1e6-9ba3-45f7-9fc8-d3163e92b67e,3,,,,3754129,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['757a7b50-a3b9-428c-a71f-bbba8df4ff8f'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,757a7b50-a3b9-428c-a71f-bbba8df4ff8f,4,,,,3754129,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['eee2c1e6-9ba3-45f7-9fc8-d3163e92b67e'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bd30675e-4c9b-47d3-a56f-4fc5439db097,1986,,,,3754129,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Liverpool,24,['08473a49-eec9-4ac2-ac25-c79115f7408c'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,08473a49-eec9-4ac2-ac25-c79115f7408c,1987,,,,3754129,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Liverpool,24,['bd30675e-4c9b-47d3-a56f-4fc5439db097'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.78028,,,,,,,,,,,,,,,2b76e121-56e4-4358-a2ab-71cf1d3db286,5,,,"[60.0, 40.0]",3754129,0,,,,1.1263771,,Left Foot,,,,"[61.0, 42.1]",Ground Pass,,2.3259406,,,,Mesut Özil,3496.0,,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['d0a1c03a-a54a-40d4-b27d-963cfe59b6d6'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.507,Pass,
,,,,,,,,,,,,,,,,,,1.38004,,,,,,,,,,,,,,,2763faf2-8396-406d-ac80-37538ca98c35,7,,,"[61.0, 41.9]",3754129,0,,,,3.01975,,Right Foot,,,,"[46.3, 43.7]",Low Pass,,14.809794,,,,Santiago Cazorla González,11386.0,,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['2f0e85cc-6ae9-42ea-acc4-102ac6f7a2ac'],1,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.287,Pass,
,,,,,,,,,,,,,,,,,,0.932958,,,,,,,,,,,,,,,3ad39b66-88b9-4755-935e-2c688040680e,11,,,"[46.3, 43.7]",3754129,0,,,,-1.5371956,,Right Foot,,,,"[46.7, 31.8]",Ground Pass,,11.906721,,,,Francis Joseph Coquelin,3437.0,,,,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Left Defensive Midfield,2,Arsenal,1,"['bdf97b4f-dfba-493a-b159-271b4c03b12c', 'd57fe3f1-1df8-450e-b1d8-6c00d42a7fb6']",3,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.069,Pass,True
,,,,,,,,,,,,,,,,,,1.33812,,,,,,,,,,,,,,,afeae7f5-1b27-4370-999f-69b3be8468e1,14,,,"[46.7, 31.8]",3754129,0,,,,3.129171,,Right Foot,,,,"[30.6, 32.0]",Ground Pass,,16.101242,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Right Defensive Midfield,2,Arsenal,1,['791968e5-06d4-4528-8c23-67bf9dfd2ed0'],4,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:04.079,Pass,
