50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d8b75c45-da84-4a64-9124-a8b4eb6d2cd3,1,,,3754143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 8061, 'name': 'Siem Stefan de Jong'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30289, 'name': 'Papiss Demba Cissé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ecb1849-8cd4-4bc9-9e60-c758ec0e93b2,2,,,3754143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cf5b9373-d09c-4288-900b-561739b59b95,3,,,3754143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['c3b979ac-3ae9-47b5-8633-3f3c8829e06d'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c3b979ac-3ae9-47b5-8633-3f3c8829e06d,4,,,3754143,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['cf5b9373-d09c-4288-900b-561739b59b95'],0,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,92bb02d9-73b1-4538-aecf-c20cb9ec5724,1742,,,3754143,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Newcastle United,37,['3c1e6efa-0f49-4bbb-937e-6ca3a95f8eb5'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3c1e6efa-0f49-4bbb-937e-6ca3a95f8eb5,1743,,,3754143,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Newcastle United,37,['92bb02d9-73b1-4538-aecf-c20cb9ec5724'],0,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.480839,,,,,,,,,,,,18324920-90bf-4cf4-be79-669e20715a4d,5,,"[61.0, 40.1]",3754143,0,,,,1.6041173,,Right Foot,,,"[60.9, 43.1]",,Ground Pass,,3.0016663,,,,,Joe Allen,10931.0,,,,,,Kick Off,1,From Kick Off,James Philip Milner,3473.0,Left Wing,2,Liverpool,24,['6e951737-6d68-4283-85ed-e664d993a258'],1,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.032,Pass,
,,,,,,,,,,,,,,,,,1.574329,,,,,,,,,,,,7fbdaee4-1129-4a93-bdee-412acb3e0042,7,,"[61.6, 44.2]",3754143,0,,,,-2.971925,,Right Foot,,,"[36.5, 39.9]",,Ground Pass,,25.465664,,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Joe Allen,10931.0,Left Defensive Midfield,2,Liverpool,24,['70cf041d-a97b-4e2f-bd3b-1c05ffb38f9c'],1,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.512,Pass,
,,,,,,,,,,,,,,,,,3.397171,,,,,,,,,,,,6c2af646-3783-424b-bc7e-8aef8c43a0ad,10,,"[36.9, 40.6]",3754143,0,,,,0.26841187,,Right Foot,,,"[87.8, 54.6]",,High Pass,,52.790245,,,Incomplete,,,,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Left Center Back,2,Liverpool,24,['20e395d3-b77d-44dd-9673-b432d0b7c7d2'],4,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.372,Pass,
,,,,,,,,,,,,,,,,,0.512056,,,,,,,,,,,,adaa4b09-5bf9-404c-8b87-73a87fff50e0,14,,"[86.5, 61.7]",3754143,0,,,,-0.2104302,,Right Foot,,,"[96.8, 59.5]",,Low Pass,,10.532331,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Kick Off,Jordon Ibe,3635.0,Right Wing,2,Liverpool,24,['d7319cd5-0250-4ecc-824e-57ecd367bef1'],9,,,,,,,,,,,,,,,,Liverpool,24,00:00:09.726,Pass,
