50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4f404cd5-bf3e-41ab-a39c-c16ed25c6079,1,,,,3754154,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 22058, 'name': 'Connor Steven Randall'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 56}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 11992, 'name': 'Kevin Linford Stewart'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b6d2aa0-7c59-4060-8634-86fb4c5dfe27,2,,,,3754154,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3649, 'name': 'Karl Darlow'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 3081, 'name': 'Jamaal Lascelles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3297, 'name': 'Andros Townsend'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 30289, 'name': 'Papiss Demba Cissé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0aacfbe1-544d-473a-a285-cdda0f6d503e,3,,,,3754154,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['3d60f38b-d98c-4cbb-99e3-11de38792d71'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3d60f38b-d98c-4cbb-99e3-11de38792d71,4,,,,3754154,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['0aacfbe1-544d-473a-a285-cdda0f6d503e'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d1d8ac9f-2b52-44b3-a828-651602606de8,1813,,,,3754154,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Newcastle United,37,['2a493ae4-9937-4d35-a30b-3b91a420e228'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2a493ae4-9937-4d35-a30b-3b91a420e228,1814,,,,3754154,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Newcastle United,37,['d1d8ac9f-2b52-44b3-a828-651602606de8'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.607608,,,,,,,,,,,,7c6b3447-625e-4c4f-b85d-850872aa4067,5,,,"[60.0, 40.0]",3754154,0,,,,,-1.7168086,,Left Foot,,,"[59.5, 36.6]",,Ground Pass,,3.436568,,,,,James Philip Milner,3473.0,,,,,Kick Off,1,From Kick Off,Daniel Andre Sturridge,3529.0,Left Center Forward,2,Liverpool,24,['9ca74e53-a2f4-4806-9810-d6d14771d037'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.520,Pass,
,,,,,,,,,,,,,,,,,1.769769,,,,,,,,,,,,6c79f469-7715-4491-a47d-73855360e3da,7,,,"[58.5, 36.8]",3754154,0,,,,,2.6974866,,Right Foot,,,"[33.7, 48.6]",,Ground Pass,,27.464159,,,,,Dejan Lovren,3471.0,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Center Midfield,2,Liverpool,24,['e4af009a-179d-417c-9f03-08c5835f3f19'],1,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.127,Pass,
,,,,,,,,,,,,,,,,,3.707807,,,,,,,,,,,,ee0e8354-c0cb-405d-83c0-97a7a9ead79f,10,,,"[37.6, 54.1]",3754154,0,,,,,-0.42544964,,Right Foot,,,"[101.6, 25.1]",,High Pass,,70.26379,,,Unknown,,Adam David Lallana,4090.0,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Liverpool,24,['44d2db47-5a4c-4ed4-8b31-5b56d1f1482f'],4,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.281,Pass,
,,,,,,,,,,,,,,,,,4.589521,,,,,,,,,,,,7b599192-0763-4ae8-85db-656d0913d2bb,14,,,"[19.1, 54.8]",3754154,0,,True,,,-0.21415883,,Right Foot,,,"[103.7, 36.4]",,High Pass,,86.57783,,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Karl Darlow,3649.0,Goalkeeper,3,Newcastle United,37,['f43c8f19-c4d2-4951-b97b-e6faa2b3414b'],31,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:31.765,Pass,
