ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e8adeef6-c317-45c5-8843-345c95083288,1,,,3754198,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,db62f80c-a129-4290-a5d0-933a0fa11735,2,,,3754198,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7af72798-4d8c-4a3c-9120-7ef8dfc64a28,3,,,3754198,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['0fee4d0a-1578-4c5a-b85e-47d7dd0e32f0'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0fee4d0a-1578-4c5a-b85e-47d7dd0e32f0,4,,,3754198,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['7af72798-4d8c-4a3c-9120-7ef8dfc64a28'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1cf2b4c4-c774-41e2-a003-0dde188bfb06,1861,,,3754198,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,129,Tottenham Hotspur,38,['f440285f-ad5f-4f26-baf4-0fd75dc40dbb'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f440285f-ad5f-4f26-baf4-0fd75dc40dbb,1862,,,3754198,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,129,Tottenham Hotspur,38,['1cf2b4c4-c774-41e2-a003-0dde188bfb06'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.332207,,,,,,,,,,,d0f03e5f-e269-4b12-8f73-867ebb5666a4,5,,"[60.0, 40.0]",3754198,0,,,,0.0,,Right Foot,,,,"[60.3, 40.0]",Ground Pass,,0.3,,,,Adam David Lallana,4090.0,,,,,Kick Off,1,From Kick Off,Divock Okoth Origi,4747.0,Center Forward,2,Liverpool,24,['4882a6bf-fd62-4c75-a36d-af6e332af477'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.315,Pass,
,,,,,,,,,,,,,,,1.251722,,,,,,,,,,,f62ef806-cc01-402c-a481-976e93b22497,8,,"[60.3, 40.5]",3754198,0,,,,-2.9795053,,Right Foot,,,,"[44.4, 37.9]",Ground Pass,,16.111176,,,,Lucas Pezzini Leiva,7780.0,,,,,,1,From Kick Off,Adam David Lallana,4090.0,Center Attacking Midfield,2,Liverpool,24,['678302d0-ba78-42f4-875f-333b269a5671'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.757,Pass,
,,,,,,,,,,,,,,,1.791262,,,,,,,,,,,39aef068-881d-4aba-ae8e-4351abb81bc6,11,,"[42.8, 35.7]",3754198,0,,,,-2.2746634,,Right Foot,,,,"[31.0, 21.8]",Ground Pass,,18.233212,,,,Mamadou Sakho,3483.0,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Right Center Midfield,2,Liverpool,24,['73f6eeb9-2393-4d52-9d48-4e981bf543b7'],2,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.952,Pass,
,,,,,,,,,,,,,,,0.72886,,,,,,,,,,,82d641e4-ee13-4673-8038-189c92180188,14,,"[31.5, 20.6]",3754198,0,,,,-0.40836802,,Left Foot,,,,"[41.9, 16.1]",Ground Pass,,11.331814,,,,Emre Can,3493.0,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['7811058e-c2ce-4f0a-95e9-edee21cb492e'],4,,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.850,Pass,
