50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a29a76c4-6ecd-415b-8ebc-3d3bbe8c619e,1,,,3754208,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 42}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d86a2929-14d2-45bc-91b0-8ea4e84de821,2,,,3754208,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2edadf8b-0395-477b-8faa-d4679de32b59,3,,,3754208,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['96b37824-da6f-4bc4-8581-ec607e53b0ce'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,96b37824-da6f-4bc4-8581-ec607e53b0ce,4,,,3754208,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['2edadf8b-0395-477b-8faa-d4679de32b59'],0,,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5ee1ffb5-0b70-4eaa-ac89-15d8abfa9dab,2080,,,3754208,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Manchester City,36,['f8835bfd-1726-4b18-b77d-835615037b6f'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f8835bfd-1726-4b18-b77d-835615037b6f,2081,,,3754208,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Manchester City,36,['5ee1ffb5-0b70-4eaa-ac89-15d8abfa9dab'],0,,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.451146,,,,,,,,,,,83e271d7-76b0-4379-ba48-019201c1bc19,5,,"[61.0, 40.1]",3754208,0,,,,1.6614562,,Right Foot,,,,"[60.8, 42.3]",,Ground Pass,,2.209072,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Kick Off,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Liverpool,24,['14abedfc-9a54-4d77-bfa6-7aa1558c31a9'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.752,Pass,
,,,,,,,,,,,,,,,,,,1.414963,,,,,,,,,,,2bda330b-3033-46c7-a727-be760006a1e2,8,,"[60.6, 46.3]",3754208,0,,,,2.0533097,,Right Foot,,,,"[45.2, 75.7]",,Ground Pass,,33.189156,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['e9b2b0be-004d-4188-8e65-34899f4d07b1'],2,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.944,Pass,
,,,,,,,,,,,,,,,,,,1.075916,,,,,,,,,,,8f3c4f3f-756d-4e2e-84ea-b1e00857ba6b,11,,"[45.2, 77.2]",3754208,0,,,,0.030759526,,Right Foot,,,,"[51.7, 77.4]",,Ground Pass,,6.503076,,,,James Philip Milner,3473.0,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,['33cf86a0-67b4-45b7-9816-c392b6bcead8'],5,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:05.059,Pass,
,,,,,,,,,,,,,,,,,,0.741705,,,,,,,,,,,9812bcbe-5219-4ead-b96c-17c875234f57,13,,"[51.7, 77.4]",3754208,0,,,,-3.0124454,,Right Foot,,,,"[44.0, 76.4]",,Ground Pass,,7.7646637,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Center Midfield,2,Liverpool,24,['50283f0d-237a-4c63-8c26-05e3499f2c86'],6,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:06.135,Pass,
