ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61e7d558-e7fb-4bd0-80c7-d7c20fa5f277,1,,,3754212,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3654, 'name': 'Daniel William John Ings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79d704e0-29c1-4d80-8f59-fec2a529ac5c,2,,,3754212,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 4347, 'name': 'Jordan Amavi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 9638, 'name': 'Jack Grealish'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 40}, {'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d63d5c7b-8164-4e1b-baae-77d308d8a449,3,,,3754212,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['387bec2e-6f49-4e29-8ca7-cbf3234a77c1'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,387bec2e-6f49-4e29-8ca7-cbf3234a77c1,4,,,3754212,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['d63d5c7b-8164-4e1b-baae-77d308d8a449'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e37071fc-4c62-439c-81d9-11e997082cca,1580,,,3754212,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Liverpool,24,['4d2071be-6e4d-4463-b2d0-1d877afa7b3b'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d2071be-6e4d-4463-b2d0-1d877afa7b3b,1581,,,3754212,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Liverpool,24,['e37071fc-4c62-439c-81d9-11e997082cca'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.65215,,,,,,,,,,,,,8229046c-2fe1-4cec-bdd0-82b7cdc51257,5,,"[61.0, 40.1]",3754212,0,,,,1.670465,,Right Foot,,,"[60.7, 43.1]",,Ground Pass,,3.0149627,,,,Philippe Coutinho Correia,3501.0,,,,,,Kick Off,1,From Kick Off,Daniel William John Ings,3654.0,Right Center Forward,2,Liverpool,24,['7de82c88-5484-4858-84e4-6defffd51046'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.500,Pass,
,,,,,,,,,,,,,,,,1.748863,,,,,,,,,,,,,3e7ab474-a393-4430-9882-cf28b275818e,8,,"[64.1, 46.5]",3754212,0,,,,1.5505289,,Right Foot,,,"[64.7, 76.1]",,Ground Pass,,29.606081,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['cbc056a7-0ac4-4304-b809-b0f7306c3dec'],3,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.099,Pass,
,,,,,,,,,,,,,,,,1.438986,,,,,,,,,,,,,ef26070e-46ac-4eda-8e6e-dd325e295056,11,,"[65.4, 76.2]",3754212,0,,,,-3.118341,,Right Foot,,,"[56.8, 76.0]",,Ground Pass,,8.602325,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Wing Back,2,Liverpool,24,['9743071d-2ea4-46f6-a8f3-8249b8bfd1b2'],4,,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.954,Pass,
,,,,,,,,,,,,,,,,1.622426,,,,,,,,,,,,,a8d5fa53-86ab-4654-9769-749e6ddfc984,14,,"[49.8, 71.6]",3754212,0,,,,-1.9918631,,Left Foot,,,"[42.5, 55.3]",,Ground Pass,,17.860012,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Right Center Back,2,Liverpool,24,['87da17c8-1a0a-4914-81ca-aff59b6c94fb'],8,,,,,,,,,,,,,,,,,Liverpool,24,00:00:08.260,Pass,
