50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40581940-3b07-4d49-b7ee-f62a21df181b,1,,,3754216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4416, 'name': 'Max-Alain Gradel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f539f83-13b8-4066-95c7-6acb5543d193,2,,,3754216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 52}, {'player': {'id': 22058, 'name': 'Connor Steven Randall'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 56}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 13448, 'name': 'Bradley Shaun Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 44}, {'player': {'id': 13200, 'name': 'Oluwaseyi Babajide Ojo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 54}, {'player': {'id': 11992, 'name': 'Kevin Linford Stewart'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 35}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 33}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4861da04-92c9-47c6-93fd-8a8b0b6e0efe,3,,,3754216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['d6340581-2fd0-40a1-9c55-460a413e361e'],0,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d6340581-2fd0-40a1-9c55-460a413e361e,4,,,3754216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['4861da04-92c9-47c6-93fd-8a8b0b6e0efe'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7fe4689-9880-461e-9462-5ca6273bc897,1951,,,3754216,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,117,AFC Bournemouth,28,['f3c3579d-0093-4c00-a0db-aa22a7962b6d'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3c3579d-0093-4c00-a0db-aa22a7962b6d,1952,,,3754216,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,117,AFC Bournemouth,28,['c7fe4689-9880-461e-9462-5ca6273bc897'],0,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.363511,,,,,,,,,,,,,6490d275-f8c1-4758-bacb-21cd49870a34,5,,"[60.0, 40.0]",3754216,0,,True,,,1.9789454,,Right Foot,,,"[58.4, 43.7]",,Ground Pass,,4.031129,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Kick Off,1,From Kick Off,Daniel Andre Sturridge,3529.0,Center Forward,2,Liverpool,24,['5bd553db-bff9-429b-b150-57b5adf69a0e'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.282,Pass,
,,,,,,,,,,,,,,,,,,1.190013,,,,,,,,,,,,,88112ee4-cef9-4076-90d8-1c82ac7339a9,7,,"[59.8, 43.7]",3754216,0,,,,,3.0080636,,Left Foot,,,"[46.4, 45.5]",,Ground Pass,,13.520355,,,,Kevin Linford Stewart,11992.0,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,2,Liverpool,24,['a22c9927-8b36-4d63-b994-72b1eba2b955'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.746,Pass,
,,,,,,,,,,,,,,,,,,1.62317,,,,,,,,,,,,,54184226-9dea-4961-bd0f-8fbea1737317,10,,"[46.4, 45.5]",3754216,0,,,,,1.5467046,,Right Foot,,,"[47.0, 70.4]",,Ground Pass,,24.907228,,,,Connor Steven Randall,22058.0,,,,,,1,From Kick Off,Kevin Linford Stewart,11992.0,Right Center Midfield,2,Liverpool,24,['b25d55a4-776f-4379-9b32-7a729574923c'],2,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.866,Pass,
,,,,,,,,,,,,,,,,,,2.315163,,,,,,,,,,,,,9ea2d9cf-7559-409b-882f-f47126009451,13,,"[53.2, 71.4]",3754216,0,,,,,-0.21866895,,Right Foot,,,"[96.4, 61.8]",,High Pass,,44.253815,,Incomplete,,Oluwaseyi Babajide Ojo,13200.0,,,,,,1,From Kick Off,Connor Steven Randall,22058.0,Right Back,2,Liverpool,24,"['d3a9a980-41a5-4b44-b71e-fec9412a30c5', 'e5a9c5f3-6082-40f4-8f06-367ac2cbf477']",5,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:05.819,Pass,
