ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cef3089c-0d1e-4ee3-b43d-45b4fef93007,1,,,3754226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 40366, 'name': 'Wes Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 42902, 'name': 'Adam Johnson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0e929283-bd5c-498b-aeb0-bc09a6ae4771,2,,,3754226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd949eb3-5f14-4531-b220-787b2dd9de9e,3,,,3754226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['88de1965-7718-42fb-aeac-5bc16cc78469'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,88de1965-7718-42fb-aeac-5bc16cc78469,4,,,3754226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['cd949eb3-5f14-4531-b220-787b2dd9de9e'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6c00d276-6b53-48b7-ae8d-3ec51f51e316,1596,,,3754226,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Liverpool,24,['7fd146ee-e480-4d53-a583-07addf12b5a4'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7fd146ee-e480-4d53-a583-07addf12b5a4,1597,,,3754226,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Liverpool,24,['6c00d276-6b53-48b7-ae8d-3ec51f51e316'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.334355,,,,,,,,,,,,,,570141c5-565f-491b-9d63-547e5edf932d,5,,"[60.0, 40.0]",3754226,0,,,,,1.3521274,,Right Foot,,,,"[60.8, 43.6]",,Ground Pass,,3.6878178,,,,Lee Cattermole,10783.0,,,,,,Kick Off,1,From Kick Off,Jermain Defoe,3337.0,Center Forward,2,Sunderland,41,['d32afe7a-5d2a-4b1d-b6fa-983185ebf824'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.479,Pass,
,,,,,,,,,,,,,,,,1.80154,,,,,,,,,,,,,,2d67d479-18c5-4f19-9d75-b77cdb289490,8,,"[60.8, 43.6]",3754226,0,,,,,-3.0791738,,Right Foot,,,,"[33.6, 41.9]",,Ground Pass,,27.253073,,,,Sebastián Coates Nión,6300.0,,,,,,,1,From Kick Off,Lee Cattermole,10783.0,Right Center Midfield,2,Sunderland,41,['167964f8-7049-4dfe-9754-0a0d2982e24e'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.890,Pass,
,,,,,,,,,,,,,,,,2.212815,,,,,,,,,,,,,,e3c872fa-72e2-4089-8f75-71086c07e9ee,11,,"[33.9, 43.4]",3754226,0,,,,,-0.60374933,,Right Foot,,,,"[68.7, 19.4]",,High Pass,,42.273396,,Incomplete,,Fabio Borini,7171.0,,,,,,,1,From Kick Off,Sebastián Coates Nión,6300.0,Right Center Back,2,Sunderland,41,"['2e6b674a-fb19-415c-a9a2-7b85b45e103a', 'c76dfeaa-17d2-4f58-ac37-00f028277167']",4,,,,,,,,,,,,,,,,,Sunderland,41,00:00:04.353,Pass,
,,,,,,,,,,,,,,,,1.227745,,,,,,,,,,,,,,c76dfeaa-17d2-4f58-ac37-00f028277167,14,,"[51.4, 60.7]",3754226,0,,,,True,-0.13411078,,,,,,"[76.6, 57.3]",,Low Pass,,25.428331,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,Recovery,1,From Kick Off,Adam David Lallana,4090.0,Right Wing,2,Sunderland,41,"['76c7c917-bcc1-4c7f-8a2e-b8fb5c3fcbf5', 'a0442a4b-bb9b-4329-98f4-3a0aaef85228', 'e3c872fa-72e2-4089-8f75-71086c07e9ee', 'ef9be7d0-19dd-4047-a677-934fe2ddd994']",6,,,,,,,,,,,,,,,,,Liverpool,24,00:00:06.565,Pass,True
