ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,066cfef0-77fd-4577-8208-3b309d2bf03d,1,,,3754230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,09a0f12c-c8d0-4e12-ba31-7ca2cfadc622,2,,,3754230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ffaa346-c94d-41d1-93aa-2344647568cc,3,,,3754230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['8591743b-eda4-41c5-9491-4df67220306d'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8591743b-eda4-41c5-9491-4df67220306d,4,,,3754230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['2ffaa346-c94d-41d1-93aa-2344647568cc'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a40d2fa5-ce24-4bd0-8c00-0d38d0b5376d,1993,,,3754230,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Liverpool,24,['99ac731f-92cd-4e1e-8500-9243f7d8cd37'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,99ac731f-92cd-4e1e-8500-9243f7d8cd37,1994,,,3754230,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Liverpool,24,['a40d2fa5-ce24-4bd0-8c00-0d38d0b5376d'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.344917,,,,,,,,,,,,e664b96c-a003-4b38-8fda-1b0417278b72,5,,"[60.0, 40.0]",3754230,0,,,,,1.5707964,,Right Foot,,,"[60.0, 40.5]",,Ground Pass,,0.5,,,,Graziano Pellè,11062.0,,,,,,Kick Off,1,From Kick Off,Sadio Mané,3629.0,Center Attacking Midfield,2,Southampton,25,['f17523a7-061c-4289-893d-8f18eabfd242'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.607,Pass,
,,,,,,,,,,,,,,,,0.974813,,,,,,,,,,,,3194833f-8ae1-48ab-ada9-b8158389aed5,7,,"[59.3, 39.3]",3754230,0,,,,,-2.6023319,,Right Foot,,,"[46.6, 31.7]",,Ground Pass,,14.800338,,,,Jordy Clasie,16181.0,,,,,,,1,From Kick Off,Graziano Pellè,11062.0,Center Forward,2,Southampton,25,['dd850bd7-ad35-47cf-9f13-54da15954c37'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.952,Pass,
,,,,,,,,,,,,,,,,1.611614,,,,,,,,,,,,53078054-0d16-4c98-8d29-59a7914e3f9e,10,,"[46.8, 31.4]",3754230,0,,,,,-2.598779,,Right Foot,,,"[28.4, 20.3]",,Ground Pass,,21.488834,,,,Virgil van Dijk,3669.0,,,,,,,1,From Kick Off,Jordy Clasie,16181.0,Right Center Midfield,2,Southampton,25,['254974a0-5b2e-4fcf-9415-f1597bc3e929'],2,,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.566,Pass,
,,,,,,,,,,,,,,,,2.949595,,,,,,,,,,,,f6b4fe6d-0341-4197-a608-de9ea26a3ba1,14,,"[28.8, 20.3]",3754230,0,,,,,1.2924967,,Right Foot,,,"[44.4, 74.9]",,High Pass,,56.78486,,,,Cédric Ricardo Alves Soares,3329.0,,,True,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Southampton,25,"['59b7fabc-6a86-4ae2-9235-ac14690efd61', 'aa97bbdd-b3d1-401c-9711-3ebb45d523ae']",5,,,,,,,,,,,,,,,,,,Southampton,25,00:00:05.309,Pass,True
