ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52e6cdaf-e196-4426-b2ee-63ac6a03362f,1,,,,3754251,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 4271, 'name': 'Andy Carroll'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5eee751d-9333-4698-be85-db4498574437,2,,,,3754251,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,182a2ff1-ea42-4562-b632-a6767b89a37f,3,,,,3754251,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['0e2a4704-d201-4e65-b8cb-3a14a27a2d4d'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e2a4704-d201-4e65-b8cb-3a14a27a2d4d,4,,,,3754251,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['182a2ff1-ea42-4562-b632-a6767b89a37f'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bacb315f-c900-434b-b78f-e211a100f8fd,1702,,,,3754251,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,West Ham United,40,['e54c426b-a6c9-49fb-bf43-d39d3af86b0f'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e54c426b-a6c9-49fb-bf43-d39d3af86b0f,1703,,,,3754251,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,West Ham United,40,['bacb315f-c900-434b-b78f-e211a100f8fd'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.620755,,,,,,,,,,,,,b2820321-7a8c-4259-9451-74db2da7664b,5,,,"[60.0, 40.0]",3754251,0,,,,-1.3415644,,Right Foot,,,"[60.7, 37.0]",,Ground Pass,,3.0805843,,,Christian Benteke Liolo,3380.0,,,,,,Kick Off,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,2,Liverpool,24,['f6c1f241-7b05-4e55-b825-443a53983e63'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.004,Pass,
,,,,,,,,,,,,,,,,,,1.481037,,,,,,,,,,,,,4a98e49d-4d11-4786-b59b-323489d4739d,8,,,"[58.4, 37.6]",3754251,0,,,,2.6066375,,Right Foot,,,"[44.9, 45.6]",,Ground Pass,,15.692355,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['f045d3c3-db06-446f-b7e6-5223e117bc37'],1,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.308,Pass,
,,,,,,,,,,,,,,,,,,3.017757,,,,,,,,,,,,,af1f7f7a-783b-4c1b-858d-e6342b766b29,11,,,"[35.2, 40.3]",3754251,0,,,,-1.9527755,,Left Foot,,,"[25.8, 16.9]",,Ground Pass,,25.217455,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Right Defensive Midfield,2,Liverpool,24,['6f8c4063-d3a8-4de3-9e78-cb22608c7cec'],3,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.964,Pass,
,,,,,,,,,,,,,,,,,,0.150469,,,,,,,,,,,,,98c8b985-6c40-4753-8fdf-12f0933cff80,15,,,"[26.2, 13.0]",3754251,0,,,,-0.26625204,,Left Foot,,,"[29.5, 12.1]",,Ground Pass,,3.4205263,Incomplete,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,"['9aa91471-d204-4f59-9e80-7ee6ba12594f', 'cf361e1d-c01c-48d3-a7f8-a968455eaac3']",7,,,,,,,,,,,,,,,,Liverpool,24,00:00:07.101,Pass,
