50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c1e46205-ce0a-42a2-8a77-a7a7cab75dce,1,,,,3754255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8cbe4c42-d836-4748-8f4a-4cd9c72ffb55,2,,,,3754255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d6cc292-c4bd-42bf-9247-79b387428a67,3,,,,3754255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['2c5cb6ce-b506-48f0-a932-f27f14adc29f'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2c5cb6ce-b506-48f0-a932-f27f14adc29f,4,,,,3754255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['8d6cc292-c4bd-42bf-9247-79b387428a67'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,887179f8-bceb-40fc-a773-f34b20b837ef,1832,,,,3754255,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Liverpool,24,['54e83a88-f188-4ad0-88ec-fc5b2653a26e'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54e83a88-f188-4ad0-88ec-fc5b2653a26e,1833,,,,3754255,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Liverpool,24,['887179f8-bceb-40fc-a773-f34b20b837ef'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.658391,,,,,,,,,,,,0073ca4e-b2f0-4882-aa3e-06214558193a,5,,,"[60.0, 40.0]",3754255,0,,,,,1.1071488,,Right Foot,,,,"[60.1, 40.2]",,Ground Pass,,0.2236068,,,,,James Morrison,3490.0,,,,,Kick Off,1,From Kick Off,Darren Fletcher,4022.0,Right Center Midfield,2,West Bromwich Albion,27,['914a80d4-0820-4fb2-a1c2-73752b68bae5'],1,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:01.068,Pass,
,,,,,,,,,,,,,,,1.911063,,,,,,,,,,,,dab97a66-2f0d-4373-a65c-1c1673c7dbdc,8,,,"[61.0, 35.4]",3754255,0,,,,,-1.4691075,,Right Foot,,,,"[64.5, 1.1]",,Low Pass,,34.478107,,,,,Chris Brunt,3541.0,,,,,,1,From Kick Off,James Morrison,3490.0,Left Center Midfield,2,West Bromwich Albion,27,['beae1d83-6388-42d5-b269-ae3d51e8c9a7'],3,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:03.059,Pass,
,,,,,,,,,,,,,,,1.439077,,,,,,,,,,,,6e4368b5-6f22-48c5-878a-946b7e87a0d9,11,,,"[65.8, 1.1]",3754255,0,,,,,3.048297,,Left Foot,,,,"[48.7, 2.7]",,Ground Pass,,17.17469,,,,,Jonas Olsson,20527.0,,,,,,1,From Kick Off,Chris Brunt,3541.0,Left Back,2,West Bromwich Albion,27,['3f7e8d7e-27ef-44c4-935f-48e00929625a'],5,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:05.062,Pass,
,,,,,,,,,,,,,,,1.690522,,,,,,,,,,,,6a127d0c-5cd5-4fbf-8435-75789485168a,14,,,"[50.4, 2.0]",3754255,0,,,,,0.03844259,,Left Foot,,,,"[92.0, 3.6]",,High Pass,,41.630756,,,Incomplete,,James McClean,3514.0,,,,,,1,From Kick Off,Jonas Olsson,20527.0,Left Center Back,2,West Bromwich Albion,27,"['2ec18003-4079-4041-97ff-1a960da28f4e', 'fbc1ddcf-48ae-47c3-bb80-6d8c5474897f']",8,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:08.953,Pass,
