50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c6d7f3cb-93e6-4106-a705-3d46e544f618,1,,,3754275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,86e55ea9-fe35-4223-8a32-67d71e98e5dd,2,,,3754275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b85b5785-08f2-4404-b25c-99bf24ff21f8,3,,,3754275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['714e861f-912c-4ced-8834-e608022b579d'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,714e861f-912c-4ced-8834-e608022b579d,4,,,3754275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['b85b5785-08f2-4404-b25c-99bf24ff21f8'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f8c1a01b-479a-42b9-846f-8f02b04292f7,1714,,,3754275,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,100,Liverpool,24,['fd8c369c-7227-433f-bba2-8f1958116d8a'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd8c369c-7227-433f-bba2-8f1958116d8a,1715,,,3754275,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,100,Liverpool,24,['f8c1a01b-479a-42b9-846f-8f02b04292f7'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,0898b276-de37-40a9-a262-62c9074ee368,5,,"[60.0, 40.0]",3754275,0,True,,,-1.7782925,,Right Foot,,,,"[59.2, 36.2]",,Ground Pass,,3.8832977,,,,N''Golo Kanté,3961.0,,,,,Kick Off,1,From Kick Off,Shinji Okazaki,3810.0,Right Center Forward,2,Leicester City,22,['5b265726-c35a-4e2b-bbfe-357dc8435e33'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.775,Pass,
,,,,,,,,,,,,,,,,1.415771,,,,,,,,,,,,,bd4291c5-3d73-45b8-a6cd-768dee2584d1,7,,"[58.9, 36.0]",3754275,0,True,,,2.5899377,,Left Foot,,,,"[52.4, 40.0]",,Ground Pass,,7.632169,,,,Danny Drinkwater,3662.0,,,,,,1,From Kick Off,N''Golo Kanté,3961.0,Left Defensive Midfield,2,Leicester City,22,['feaa2af7-5fd6-416d-8648-73bf30c30e6a'],1,,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.260,Pass,
,,,,,,,,,,,,,,,,2.452327,,,,,,,,,,,,,fcc80bab-46a5-43e4-b96e-e2b8de9c527b,11,,"[52.4, 39.0]",3754275,0,,,,-0.77555317,,Right Foot,,,,"[88.3, 3.8]",,High Pass,,50.27773,,,,Jamie Vardy,10960.0,,,,,,1,From Kick Off,Danny Drinkwater,3662.0,Right Defensive Midfield,2,Leicester City,22,"['5cc4a613-5db2-46ed-8d42-3d3d078fdd68', 'f3e4bcbe-327e-4b05-9891-1a1a29da5784']",2,,,,,,,,,,,,,,,,,Leicester City,22,00:00:02.696,Pass,True
,,,,,,,,,,,,,,,,2.469294,,,,,,,,,,,,,28e00de1-c215-489f-8c6a-a45f8f7f0e06,13,,"[88.3, 3.8]",3754275,0,,,,0.070306465,,Head,,,,"[102.5, 4.8]",,High Pass,,14.2351675,,Incomplete,,Marc Albrighton,3307.0,,,,,,1,From Kick Off,Jamie Vardy,10960.0,Left Center Forward,2,Leicester City,22,"['1a295430-a816-40c6-8c74-4d4fbb2ad00d', 'd592e202-4f0a-4308-8378-b7ba008a5a3a']",5,,,,,,,,,,,,,,,,,Leicester City,22,00:00:05.188,Pass,
