50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c1c0d642-177b-4d7b-8c9b-5dcc17c1b7b6,1,,,3754316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab20963c-9db2-477a-ac9d-270b8bef70e2,2,,,3754316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 22281, 'name': 'Duncan Watmore'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 41}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab10fd07-d69a-43ac-9625-5f840328d783,3,,,3754316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['a3d19eea-3fcb-45f6-addf-0a4db9522f8b'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3d19eea-3fcb-45f6-addf-0a4db9522f8b,4,,,3754316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['ab10fd07-d69a-43ac-9625-5f840328d783'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,450f77e3-b5dc-44a1-931c-1d212bbdc3f2,1802,,,3754316,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Sunderland,41,['1d12bef4-80df-4284-aeb8-68421d1f5017'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d12bef4-80df-4284-aeb8-68421d1f5017,1803,,,3754316,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Sunderland,41,['450f77e3-b5dc-44a1-931c-1d212bbdc3f2'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.325258,,,,,,,,,,,,,0aab694e-fa96-43c6-b7ee-334205bf0185,5,,"[60.0, 40.0]",3754316,0,,,,1.3854483,,Right Foot,,,,"[60.3, 41.6]",,Ground Pass,,1.627882,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Kick Off,1,From Kick Off,Adam David Lallana,4090.0,Center Attacking Midfield,2,Liverpool,24,['9596181d-54e4-4010-906b-e055940d0fdc'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.592,Pass,
,,,,,,,,,,,,,,,,0.900999,,,,,,,,,,,,,2e65c666-ea1d-4f8f-a903-20d9afc70ac6,8,,"[60.7, 41.7]",3754316,0,,,,-2.8059542,,Right Foot,,,,"[47.8, 37.2]",,Ground Pass,,13.662357,,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['aeb401df-2c32-435d-8154-51bbab6e32f0'],1,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.038,Pass,
,,,,,,,,,,,,,,,,1.143371,,,,,,,,,,,,,5becc73c-ec73-4b27-b331-576b9e81fcf2,11,,"[47.2, 40.3]",3754316,0,,,,2.4496713,,Right Foot,,,,"[33.2, 51.9]",,Ground Pass,,18.181309,,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Left Defensive Midfield,2,Liverpool,24,['0c4f63f3-a1fe-4e1c-8e89-02771b751c74'],3,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.468,Pass,
,,,,,,,,,,,,,,,,1.708483,,,,,,,,,,,,,6593403d-c503-40fc-8dcd-aa37bc0a8eac,14,,"[33.5, 52.2]",3754316,0,,,,-1.6768485,,Right Foot,,,,"[30.2, 21.2]",,Ground Pass,,31.17515,,,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Liverpool,24,['e1da11a9-dd76-4fdf-b645-cb6a980012a9'],4,,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.651,Pass,
,,,,,,,,,,,,,,,,0.912029,,,,,,,,,,,,,363c07d5-8a23-41e1-a021-70f041e46316,17,,"[33.5, 22.0]",3754316,0,,,,0.594911,,Left Foot,,,,"[46.8, 31.0]",,Ground Pass,,16.058954,,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['6d855270-4945-46cb-b7ec-7be41354ee79'],7,,,,,,,,,,,,,,,,,Liverpool,24,00:00:07.624,Pass,
