ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,981f5ccf-5468-42c2-954e-4ce6961898ec,1,,,3754342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 10007, 'name': 'Jon Flanagan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 11992, 'name': 'Kevin Linford Stewart'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 13200, 'name': 'Oluwaseyi Babajide Ojo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 54}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,785027f0-1744-48bd-afec-faec22f86bdb,2,,,3754342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dea5f376-e405-4cb8-832a-0cc4bd626952,3,,,3754342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['bec080a5-3630-4331-b31f-033b2f92c97a'],0,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bec080a5-3630-4331-b31f-033b2f92c97a,4,,,3754342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['dea5f376-e405-4cb8-832a-0cc4bd626952'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9887bb36-8307-4e2b-8e1c-d86aca0dcf08,1748,,,3754342,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Watford,23,['e5cb4d37-a4d9-42d5-adc2-6a03a6b0ade3'],0,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5cb4d37-a4d9-42d5-adc2-6a03a6b0ade3,1749,,,3754342,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Watford,23,['9887bb36-8307-4e2b-8e1c-d86aca0dcf08'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.41515,,,,,,,,,,,,,,f8e22d64-4e2b-425f-ade7-de63597a6cc2,5,,"[61.0, 40.1]",3754342,0,,,,,1.5707964,,Right Foot,,,,"[61.0, 42.8]",,Ground Pass,,2.7,,,,,Jordon Ibe,3635.0,,,,,,Kick Off,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['829cd9da-f69b-49ac-9ea9-6f0216b30425'],0,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.146,Pass,
,,,,,,,,,,,,,,,1.538715,,,,,,,,,,,,,,64132db1-9019-4ab7-afe4-92bcb41becd1,8,,"[57.4, 41.1]",3754342,0,,,,,2.816188,,Right Foot,,,,"[32.8, 49.4]",,Ground Pass,,25.962473,,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Jordon Ibe,3635.0,Center Attacking Midfield,2,Liverpool,24,['5c036617-2387-49d0-9d0f-d2aff412567a'],1,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.250,Pass,
,,,,,,,,,,,,,,,2.965235,,,,,,,,,,,,,,36382e9a-fc95-4700-8b15-6576d389764c,11,,"[35.0, 49.0]",3754342,0,,,,,-0.20065288,,Right Foot,,,,"[88.1, 38.2]",,High Pass,,54.187176,,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,"['5535ffb2-5fd5-4b24-ab4c-2846b5f02b3e', 'a24de4d2-f173-4e79-8176-11cc2c46bb08']",4,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:04.698,Pass,
,,,,,,,,,,,,,,,1.459602,,,,,,,,,,,,,,a24de4d2-f173-4e79-8176-11cc2c46bb08,13,,"[32.0, 41.9]",3754342,0,,,,,-0.34412202,,Head,,,,"[49.3, 35.7]",,High Pass,,18.377432,,,Incomplete,,Odion Jude Ighalo,5458.0,,,,,,Recovery,1,From Kick Off,Sebastian Prödl,3309.0,Right Center Back,2,Liverpool,24,"['305998e2-1776-4f82-b571-71e07294f76e', '36382e9a-fc95-4700-8b15-6576d389764c', '405bc59b-7bce-4a31-9427-5fd0f3c55e0f']",7,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:07.664,Pass,
