50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2133d86-eea5-420f-8af3-38ef79bc1bf0,1,,,3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fed46870-4fbe-4fdb-b6ec-6bb6fc1e7cb1,2,,,3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,04a0518a-63f7-46bf-a8aa-532c5b245ffb,3,,,3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['6975aed6-932b-441d-9a08-a31dc40756d2'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6975aed6-932b-441d-9a08-a31dc40756d2,4,,,3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['04a0518a-63f7-46bf-a8aa-532c5b245ffb'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8827e949-4991-4dfb-90fd-abfadeba563b,1804,,,3754345,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,90,Liverpool,24,['af45966a-3b06-4d95-ba0a-86c52e3400cd'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,af45966a-3b06-4d95-ba0a-86c52e3400cd,1805,,,3754345,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,90,Liverpool,24,['8827e949-4991-4dfb-90fd-abfadeba563b'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.335482,,,,,,,,,,,,,29d12e39-f07e-4ce5-9a0f-f53eea2c997a,5,,"[61.0, 40.1]",3754345,0,,,,,2.4980915,,Right Foot,,,"[60.6, 40.4]",Ground Pass,,0.5,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Kick Off,1,From Kick Off,Adam David Lallana,4090.0,Left Wing,2,Liverpool,24,['446869c2-7644-4100-b479-8d35c03079f9'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.582,Pass,
,,,,,,,,,,,,,1.989938,,,,,,,,,,,,,d4c19a0c-430c-4275-93a8-8ec0c33581a9,7,,"[60.4, 40.2]",3754345,0,,,,,-2.8617756,,Right Foot,,,"[34.3, 32.7]",Ground Pass,,27.156216,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['1d3381bd-f5f3-4356-b49f-50242a5c0d04'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.917,Pass,
,,,,,,,,,,,,,2.703334,,,,,,,,,,,,,a431c178-cde0-4360-aaa0-f504a6060c69,10,,"[35.3, 35.9]",3754345,0,,,,,2.9200346,,Left Foot,,,"[6.0, 42.5]",Ground Pass,,30.034147,,,Simon Mignolet,3539.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['426290a6-2fd2-46fa-a689-5c0a604c65ca'],3,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.587,Pass,
,,,,,,,,,,,,,3.113367,,,,,,,,,,,,,90dc3395-c848-4956-a9e3-bcf14b67bfe0,13,,"[14.2, 48.1]",3754345,0,,,,,0.29951435,,Right Foot,,,"[90.3, 71.6]",High Pass,,79.64584,,,James Philip Milner,3473.0,,,,,,,1,From Kick Off,Simon Mignolet,3539.0,Goalkeeper,2,Liverpool,24,['e9ae5be4-da63-4e4a-89e3-16c13ba02683'],14,,,,,,,,,,,,,,,,,Liverpool,24,00:00:14.881,Pass,
