50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f6ddf84d-0332-4c61-9dd7-56cf7380d210,1,,,3754348,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2c0ff1ce-2a6e-4119-b8f3-9638a483d777,2,,,3754348,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 33}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,98f96750-9383-4004-9653-849d8c979f1c,3,,,3754348,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['af5b56d9-2c40-4c07-88ec-307fd9d17bd9'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,af5b56d9-2c40-4c07-88ec-307fd9d17bd9,4,,,3754348,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['98f96750-9383-4004-9653-849d8c979f1c'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ce564362-b7ad-44c4-b4d4-cbe5496ed5b7,1751,,,3754348,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Liverpool,24,['bcf9a470-95cc-40ff-9d81-be4eec06ae1d'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bcf9a470-95cc-40ff-9d81-be4eec06ae1d,1752,,,3754348,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Liverpool,24,['ce564362-b7ad-44c4-b4d4-cbe5496ed5b7'],0,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.218373,,,,,,,,,,,,,,,10be1de5-fdea-4f73-91c1-11389b58b6cb,5,,"[61.0, 40.1]",3754348,0,,,,,1.4121411,,Right Foot,,,"[61.4, 42.6]",,Ground Pass,,2.531798,,,Nathan Redmond,3286.0,,,,,Kick Off,1,From Kick Off,Jonathan Howson,9578.0,Left Defensive Midfield,2,Norwich City,56,['0130ee97-61f1-40d9-bb0c-f9864e14ae3f'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.400,Pass,
,,,,,,,,,,,,,,,,,,2.456202,,,,,,,,,,,,,,,fcb10a48-ddee-427e-8b02-109fa54db67d,7,,"[61.4, 42.5]",3754348,0,,,,,-2.7870984,,Right Foot,,,"[46.0, 36.8]",,Ground Pass,,16.421022,,,Russell Martin,21212.0,,,,,,1,From Kick Off,Nathan Redmond,3286.0,Right Midfield,2,Norwich City,56,['9e55b61f-9454-49c9-8766-bb7deb2628a1'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.618,Pass,
,,,,,,,,,,,,,,,,,,3.366831,,,,,,,,,,,,,,,fc9faa79-c754-473b-85ec-f33a1cdd204a,10,,"[46.4, 36.2]",3754348,0,,,,,-0.5498532,,Right Foot,,,"[86.7, 11.5]",,High Pass,,47.267113,,,Dieumerci Mbokani Bezua,23663.0,,,,,,1,From Kick Off,Russell Martin,21212.0,Right Center Back,2,Norwich City,56,['f0b725da-2ac9-46b6-ba55-deccef03d881'],3,,,,,,,,,,,,,,,,Norwich City,56,00:00:03.158,Pass,
,,,,,,,,,,,,,,,,,,2.240647,,,,,,,,,,,,,,,894fc1c0-0503-4b9c-8d2a-c657819d49ce,13,,"[86.9, 11.8]",3754348,0,,,,True,0.00549445,,,,,"[105.1, 11.9]",,Low Pass,,18.200275,,Incomplete,Steven Naismith,9528.0,,,,,,1,From Kick Off,Dieumerci Mbokani Bezua,23663.0,Center Forward,2,Norwich City,56,"['2be034f3-0e1a-409f-af7c-8b461ea9ce1c', '6d612bc8-f77e-4b4f-bfc9-1f45d5daa58f', '96e88a54-67a3-4e12-91d6-81898ea7410f']",6,,,,,,,,,,,,,,,,Norwich City,56,00:00:06.524,Pass,True
