ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ffeb78d4-2b8a-4d31-bece-244e242c3182,1,,,,3754351,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 37}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1420dc07-8418-4a40-8385-ea1ae5125de4,2,,,,3754351,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3448, 'name': 'Martin Kelly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 34}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3469, 'name': 'Bakary Sako'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dc87f941-e31b-4bef-83cc-5babc691a13d,3,,,,3754351,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['635c7b79-c5d9-455d-9cc7-f9382c90a93a'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,635c7b79-c5d9-455d-9cc7-f9382c90a93a,4,,,,3754351,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['dc87f941-e31b-4bef-83cc-5babc691a13d'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cf4cd7bf-9311-49ab-86e0-dab76d2f73ba,1626,,,,3754351,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Liverpool,24,['2a4f4a70-7205-4a10-833b-af2ef5e0aefd'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2a4f4a70-7205-4a10-833b-af2ef5e0aefd,1627,,,,3754351,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Liverpool,24,['cf4cd7bf-9311-49ab-86e0-dab76d2f73ba'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.573543,,,,,,,,,,,,59d9fa96-e7b6-4505-81aa-679d676335cf,5,,,"[60.0, 40.0]",3754351,0,,True,,,-0.39479113,,Left Foot,,,,"[61.2, 39.5]",,Ground Pass,,1.3,,,,,Jason Puncheon,19688.0,,,,,Kick Off,1,From Kick Off,James McArthur,3464.0,Left Defensive Midfield,2,Crystal Palace,31,['4d699172-04da-4486-b0a6-2fc5b7ef03e8'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.858,Pass,
,,,,,,,,,,,,,,,,1.918437,,,,,,,,,,,,038f88c3-dde6-4101-9aff-3464ac624788,7,,,"[61.4, 39.1]",3754351,0,,,,,-2.0266213,,Left Foot,,,,"[46.3, 8.3]",,Ground Pass,,34.302334,,,,,Pape N''Diaye Souaré,4884.0,,,,,,1,From Kick Off,Jason Puncheon,19688.0,Center Attacking Midfield,2,Crystal Palace,31,['0a498f89-3a7c-4421-ac07-2308d45014d3'],2,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:02.289,Pass,
,,,,,,,,,,,,,,,,2.012107,,,,,,,,,,,,b71ed5f0-76c5-474a-9785-44fad768ae18,11,,,"[47.5, 7.8]",3754351,0,,,,,2.6535597,,Left Foot,,,,"[31.3, 16.4]",,Ground Pass,,18.341211,,,,,Damien Delaney,3693.0,,,,,,1,From Kick Off,Pape N''Diaye Souaré,4884.0,Left Back,2,Crystal Palace,31,"['069c6ca4-71a2-4061-8b70-fe94a58ea554', '9852e883-0cd2-42ca-8914-3989ab9b9090']",5,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:05.049,Pass,True
,,,,,,,,,,,,,,,,3.073982,,,,,,,,,,,,9130f969-c34e-4009-818f-61b03233f0a6,14,,,"[31.3, 16.4]",3754351,0,,,,,-0.11730985,,Left Foot,,,,"[89.0, 9.6]",,High Pass,,58.09931,,,,,Yannick Bolasie Yala,3589.0,,,,,,1,From Kick Off,Damien Delaney,3693.0,Left Center Back,2,Crystal Palace,31,['3396fd6e-5a69-45c0-add5-da356fdcc31f'],8,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:08.415,Pass,
