match_id,match_date,minutes_played,total_passes,passes_per_90,pass_completion_rate,avg_pass_length,crosses_per_90,shot_assists_per_90,goal_assists_per_90,passes_under_pressure_per_90,successful_receipts_per_90,avg_carry_distance,carries_under_pressure_per_90,total_dribbles,dribbles_per_90,dribble_success_rate,total_duels,duels_per_90,duel_success_rate,recoveries_per_90,interceptions_per_90,pressures_per_90
18245,18245_Real,90,35,35.0,0.6857142857142857,21.815218302857144,3.0,3.0,0.0,3.0,23.0,3.725869760992838,3.0,0,0.0,,1,1.0,0.0,6.0,0.0,21.0
22912,22912_Tott,29,7,21.724137931034484,0.5714285714285714,30.233346614285715,0.0,0.0,0.0,6.206896551724138,18.620689655172413,7.625642994888611,3.103448275862069,0,0.0,,0,0.0,,3.103448275862069,0.0,34.13793103448276
3753984,3753984_Li,90,85,85.0,0.8235294117647058,22.26417129764706,1.0,3.0,0.0,3.0,79.0,4.5101120488452775,13.0,2,2.0,1.0,4,4.0,0.0,5.0,0.0,26.0
3753985,3753985_St,90,65,65.0,0.8461538461538461,19.27026843384615,2.0,1.0,0.0,9.0,54.0,3.580286710728291,9.0,1,1.0,0.0,4,4.0,0.0,4.0,0.0,33.0
3753986,3753986_Li,90,81,81.0,0.691358024691358,21.13175929259259,8.0,0.0,2.0,6.0,57.0,5.570380866616583,15.0,2,2.0,0.5,2,2.0,0.0,6.0,2.0,12.0
3753991,3753991_Li,90,48,48.0,0.5625,19.930052145833333,2.0,1.0,1.0,10.0,38.0,5.726733299544068,15.0,1,1.0,1.0,6,6.0,0.0,7.0,5.0,39.0
3754003,3754003_Ma,90,46,46.0,0.7391304347826086,21.634891052173913,2.0,1.0,0.0,2.0,37.0,4.915370346392841,4.0,0,0.0,,3,3.0,0.3333333333333333,4.0,1.0,20.0
3754020,3754020_Li,90,57,57.0,0.8421052631578947,17.041282484210527,2.0,2.0,0.0,12.0,43.0,6.76568209775527,16.0,0,0.0,,4,4.0,0.0,11.0,1.0,23.0
3754040,3754040_Li,90,73,73.0,0.6712328767123288,23.571266273972604,4.0,2.0,0.0,9.0,61.0,4.157860601436204,14.0,3,3.0,0.0,4,4.0,0.0,5.0,1.0,22.0
3754047,3754047_Li,90,46,46.0,0.782608695652174,22.329362921739126,0.0,0.0,0.0,3.0,37.0,5.7107996917545645,6.0,2,2.0,0.0,7,7.0,0.42857142857142855,6.0,0.0,28.0
3754055,3754055_Li,90,69,69.0,0.7681159420289855,21.620639856521738,3.0,3.0,0.0,10.0,52.0,4.862403131204168,11.0,0,0.0,,3,3.0,0.3333333333333333,4.0,1.0,28.0
3754060,3754060_Ev,90,40,40.0,0.575,25.125885405,3.0,3.0,1.0,0.0,33.0,4.610303886746601,11.0,3,3.0,0.6666666666666666,8,8.0,0.0,5.0,1.0,22.0
3754087,3754087_Li,90,51,51.0,0.5490196078431373,20.180244094117647,0.0,0.0,0.0,11.0,37.0,6.16780114369337,16.0,1,1.0,0.0,6,6.0,0.16666666666666666,6.0,1.0,34.0
3754098,3754098_Ch,90,30,30.0,0.8333333333333334,19.199646939999997,3.0,2.0,0.0,7.0,32.0,4.140274804781127,14.0,2,2.0,0.5,0,0.0,,4.0,0.0,9.0
3754129,3754129_Ar,90,56,56.0,0.7142857142857143,22.96983924107143,1.0,3.0,0.0,8.0,35.0,4.964979207620226,10.0,0,0.0,,2,2.0,0.0,13.0,0.0,24.0
3754143,3754143_Ne,90,61,61.0,0.7540983606557377,19.16210618032787,2.0,2.0,0.0,12.0,51.0,5.548798155803923,18.0,5,5.0,0.4,5,5.0,0.0,6.0,0.0,21.0
3754154,3754154_Li,90,88,88.0,0.6818181818181818,20.364943290909086,11.0,1.0,0.0,18.0,72.0,7.130278932725218,24.0,4,4.0,0.25,1,1.0,0.0,6.0,1.0,37.0
3754198,3754198_To,90,46,46.0,0.6739130434782609,18.532652584782614,1.0,2.0,0.0,5.0,37.0,5.160826029753212,16.0,4,4.0,0.5,6,6.0,0.3333333333333333,6.0,0.0,22.0
3754208,3754208_Ma,90,44,44.0,0.6363636363636364,22.59402089090909,2.0,0.0,0.0,7.0,31.0,6.5897196422113,14.0,1,1.0,1.0,8,8.0,0.125,6.0,0.0,26.0
3754212,3754212_Li,90,51,51.0,0.7647058823529411,24.46109678627451,2.0,1.0,1.0,7.0,41.0,4.558277791709378,13.0,1,1.0,0.0,4,4.0,0.5,5.0,0.0,16.0
3754214,3754214_As,90,47,47.0,0.7446808510638298,20.55224049787234,3.0,1.0,0.0,4.0,35.0,2.2691665811438577,4.0,0,0.0,,2,2.0,0.0,1.0,3.0,16.0
3754220,3754220_Cr,90,49,49.0,0.7551020408163265,18.20242334285714,3.0,0.0,0.0,8.0,40.0,6.800962935292671,13.0,1,1.0,1.0,3,3.0,0.3333333333333333,1.0,0.0,14.0
3754230,3754230_Li,90,59,59.0,0.7627118644067796,23.029777657627122,2.0,4.0,1.0,3.0,54.0,5.947881740434277,11.0,0,0.0,,2,2.0,0.5,4.0,1.0,24.0
3754255,3754255_Li,90,72,72.0,0.6944444444444444,20.500472690277775,4.0,2.0,0.0,10.0,56.0,5.922225722979683,13.0,0,0.0,,7,7.0,0.14285714285714285,6.0,0.0,24.0
3754275,3754275_Le,90,50,50.0,0.72,22.850341141999998,2.0,2.0,0.0,13.0,32.0,5.612144772779208,24.0,3,3.0,1.0,5,5.0,0.2,12.0,1.0,17.0
3754294,3754294_Li,90,77,77.0,0.8831168831168831,23.47562741038961,9.0,7.0,2.0,8.0,50.0,6.3671839766189064,15.0,2,2.0,1.0,0,0.0,,6.0,3.0,16.0
3754305,3754305_Li,90,36,36.0,0.75,19.76580691666667,3.0,2.0,1.0,7.0,33.0,5.442311617753294,9.0,0,0.0,,0,0.0,,4.0,0.0,18.0
3754316,3754316_Li,90,84,84.0,0.7380952380952381,18.94632287380952,5.0,1.0,1.0,5.0,63.0,4.4440000607678805,14.0,0,0.0,,2,2.0,1.0,6.0,2.0,19.0
3754345,3754345_Li,90,50,50.0,0.6,19.052684484,3.0,3.0,0.0,17.0,41.0,4.885178526645843,22.0,1,1.0,1.0,3,3.0,0.0,6.0,1.0,20.0
3754348,3754348_No,90,49,49.0,0.6938775510204082,18.41772002040816,3.0,1.0,1.0,13.0,38.0,5.795987759851077,16.0,2,2.0,0.5,6,6.0,0.0,4.0,1.0,26.0
